date,open,high,low,close,volume
2022-01-03,93.91,95.83,93.48,95.75,18719697.0
2022-01-04,95.6,96.59,93.54,96.34,19725020.0
2022-01-05,95.38,98.45,94.35,94.4,28613129.0
2022-01-06,95.1,96.71,94.12,95.65,22320264.0
2022-01-07,96.09,97.19,93.94,94.45,14857859.0
2022-01-10,94.26,95.67,91.04,93.89,20289997.0
2022-01-11,92.46,94.27,91.65,94.2,14924886.0
2022-01-12,95.16,96.23,93.78,95.11,13339184.0
2022-01-13,96.5,98.11,95.3,95.62,23679830.0
2022-01-14,94.44,97.43,94.42,97.36,18384993.0
2022-01-18,95.53,95.95,92.54,92.87,19920161.0
2022-01-19,93.72,94.78,89.77,90.0,19043766.0
2022-01-20,90.28,90.33,84.93,85.07,24701342.0
2022-01-21,84.22,85.14,81.52,81.93,29716319.0
2022-01-24,80.27,83.04,77.64,82.95,29769629.0
2022-01-25,80.92,82.42,79.65,80.72,22128380.0
2022-01-26,83.25,84.79,80.61,81.97,21018662.0
2022-01-27,83.51,83.69,78.39,78.72,22693965.0
2022-01-28,77.37,79.28,75.52,79.27,24434646.0
2022-01-31,78.96,82.31,78.02,82.27,21898195.0
2022-02-01,82.2,82.39,80.42,81.45,15237402.0
2022-02-02,82.92,84.7,82.54,84.51,19862826.0
2022-02-03,82.67,85.18,81.71,81.97,19598165.0
2022-02-04,81.22,82.19,79.84,81.17,15657509.0
2022-02-07,81.36,82.04,80.48,80.87,11799784.0
2022-02-08,81.15,84.4,81.0,84.12,18315742.0
2022-02-09,84.6,88.78,83.56,88.12,22386914.0
2022-02-10,89.19,94.64,88.48,91.02,33820696.0
2022-02-11,91.28,94.58,88.95,89.76,30999980.0
2022-02-14,91.99,93.17,88.71,89.86,23499096.0
2022-02-15,91.01,96.5,91.01,96.0,27083529.0
2022-02-16,94.44,96.49,93.57,96.06,15573596.0
2022-02-17,95.04,96.0,93.49,93.73,17943285.0
2022-02-18,94.53,94.68,88.9,90.8,19530513.0
2022-02-22,89.84,93.97,88.67,90.57,24825717.0
2022-02-23,91.47,91.87,87.07,87.31,19135407.0
2022-02-24,84.13,88.94,83.79,88.83,24472315.0
2022-02-25,87.96,90.48,87.28,90.1,15008658.0
2022-02-28,88.45,89.75,87.16,88.86,17269788.0
2022-03-01,88.56,89.84,84.66,86.26,20794836.0
2022-03-02,87.17,94.07,87.03,93.3,28398700.0
2022-03-03,91.62,92.19,88.39,89.18,22099752.0
2022-03-04,87.42,87.42,80.52,81.91,28221728.0
2022-03-07,81.76,82.97,75.63,75.7,26715511.0
2022-03-08,76.25,80.25,73.93,77.16,28343183.0
2022-03-09,79.97,80.49,77.54,79.44,19647851.0
2022-03-10,77.73,77.73,73.81,75.72,21691955.0
2022-03-11,76.66,76.7,72.64,72.82,22786509.0
2022-03-14,71.75,72.48,68.96,69.4,24893444.0
2022-03-15,70.05,73.53,68.34,73.11,22850964.0
2022-03-16,76.47,79.71,76.15,79.67,35742765.0
2022-03-17,78.2,80.58,77.2,80.52,21612244.0
2022-03-18,79.1,81.2,78.06,79.41,28601158.0
2022-03-21,78.99,79.89,75.53,78.35,30878163.0
2022-03-22,77.7,79.73,77.51,79.12,16768042.0
2022-03-23,77.86,78.22,75.08,75.65,28059803.0
2022-03-24,75.9,78.53,75.32,78.21,23348049.0
2022-03-25,78.27,78.3,75.13,78.1,22491043.0
2022-03-28,78.59,80.18,77.27,79.86,26605277.0
2022-03-29,82.1,82.55,79.26,82.05,41290740.0
2022-03-30,84.3,86.24,78.6,79.16,70087027.0
2022-03-31,77.67,79.96,76.83,77.89,34588634.0
2022-04-01,78.43,78.91,74.06,76.18,33536055.0
2022-04-04,76.9,78.18,76.51,77.67,24320306.0
2022-04-05,76.71,78.02,74.3,74.61,21171421.0
2022-04-06,73.17,74.89,71.47,73.78,28080116.0
2022-04-07,73.67,74.68,72.13,73.28,22658636.0
2022-04-08,72.5,72.85,70.83,72.14,20562565.0
2022-04-11,70.55,72.91,70.09,72.03,21127921.0
2022-04-12,72.79,73.59,71.57,71.96,18658506.0
2022-04-13,72.36,73.75,71.86,72.38,18891991.0
2022-04-14,72.56,72.81,70.09,70.13,18543538.0
2022-04-18,70.25,72.1,70.05,71.15,17476740.0
2022-04-19,70.96,73.41,70.77,72.73,15138970.0
2022-04-20,73.81,76.23,72.89,73.2,19042573.0
2022-04-21,73.97,74.49,70.65,70.92,17645347.0
2022-04-22,70.64,70.98,69.31,69.41,18682432.0
2022-04-25,68.42,70.17,67.93,70.12,20072116.0
2022-04-26,68.69,69.16,67.04,67.08,18628694.0
2022-04-27,66.13,68.48,65.86,66.47,17123641.0
2022-04-28,67.65,70.81,67.06,70.18,21058415.0
2022-04-29,69.1,71.33,68.02,68.19,16843482.0
2022-05-02,68.16,70.74,67.58,70.6,15342804.0
2022-05-03,70.47,71.96,70.2,71.26,13539078.0
2022-05-04,71.77,73.9,70.16,73.62,17201941.0
2022-05-05,72.31,72.56,70.36,71.29,16603567.0
2022-05-06,70.55,71.91,68.89,70.35,15159769.0
2022-05-09,69.2,71.4,67.48,67.93,21770876.0
2022-05-10,69.57,70.59,67.61,68.91,17662664.0
2022-05-11,68.66,70.88,66.82,66.96,17237252.0
2022-05-12,66.0,68.9,65.87,67.71,27022917.0
2022-05-13,69.09,72.63,68.02,71.92,22871972.0
2022-05-16,71.51,72.04,70.32,70.47,13394748.0
2022-05-17,72.25,74.73,72.15,74.48,17671486.0
2022-05-18,73.18,74.22,70.09,71.05,20635056.0
2022-05-19,70.76,71.7,69.05,69.4,17557951.0
2022-05-20,70.6,70.69,66.11,68.9,20313303.0
2022-05-23,68.77,70.2,68.52,69.59,12356239.0
2022-05-24,68.36,68.41,66.01,66.62,18764531.0
2022-05-25,65.92,68.85,65.9,67.87,16241150.0
2022-05-26,66.39,71.04,66.35,70.6,14902509.0
2022-05-27,71.76,73.44,71.64,73.32,13078717.0
2022-05-31,73.47,74.48,71.93,73.84,15452990.0
2022-06-01,74.5,75.39,72.55,73.55,13595403.0
2022-06-02,73.13,75.41,73.13,75.37,11373151.0
2022-06-03,71.69,71.69,69.11,69.94,30306552.0
2022-06-06,70.74,72.14,70.01,70.45,13198700.0
2022-06-07,68.65,70.87,68.12,70.76,14327996.0
2022-06-08,69.84,70.4,67.76,68.6,16362980.0
2022-06-09,67.94,68.69,66.0,66.02,15073741.0
2022-06-10,64.84,65.56,62.28,62.62,26647545.0
2022-06-13,60.02,60.96,58.58,58.84,24278595.0
2022-06-14,59.36,59.87,57.72,58.7,17036011.0
2022-06-15,59.33,60.08,57.55,59.12,19726222.0
2022-06-16,57.0,57.0,54.25,55.01,22706176.0
2022-06-17,55.9,56.32,53.6,55.75,24139828.0
2022-06-21,56.82,57.92,56.34,56.8,15502830.0
2022-06-22,55.96,57.14,55.6,56.34,13524699.0
2022-06-23,56.61,56.83,54.96,56.22,13366626.0
2022-06-24,57.15,59.0,57.13,58.44,15647556.0
2022-06-27,59.58,60.05,58.37,58.78,16159869.0
2022-06-28,58.98,60.59,57.81,57.86,19404466.0
2022-06-29,57.23,57.52,55.32,56.02,17351367.0
2022-06-30,54.99,56.41,54.22,55.28,29572420.0
2022-07-01,53.29,53.96,51.4,53.65,43681742.0
2022-07-05,52.18,56.89,52.09,56.73,33766111.0
2022-07-06,56.85,58.12,56.46,57.37,23565024.0
2022-07-07,59.1,59.31,57.84,58.85,22945542.0
2022-07-08,58.22,60.43,58.1,59.14,19283045.0
2022-07-11,58.11,58.61,57.71,57.81,13963237.0
2022-07-12,58.42,60.08,58.1,59.18,21523085.0
2022-07-13,57.38,59.42,57.36,58.86,13987599.0
2022-07-14,57.94,59.66,57.32,59.35,14803838.0
2022-07-15,61.48,61.7,59.4,61.53,20317786.0
2022-07-18,62.09,62.33,60.14,60.45,13233041.0
2022-07-19,61.47,62.76,61.38,62.4,19103715.0
2022-07-20,62.22,63.52,61.85,63.3,15176188.0
2022-07-21,62.6,63.68,61.93,63.64,12924682.0
2022-07-22,61.29,62.92,61.01,61.29,22201715.0
2022-07-25,61.35,61.83,59.7,60.15,14479422.0
2022-07-26,60.31,60.69,59.55,59.66,11044824.0
2022-07-27,60.49,62.39,59.61,61.89,14589817.0
2022-07-28,62.25,62.3,60.19,62.07,10120280.0
2022-07-29,61.35,62.09,60.77,61.86,14199686.0
2022-08-01,62.5,63.99,62.0,62.54,13347167.0
2022-08-02,61.75,63.3,60.88,62.47,11535836.0
2022-08-03,62.5,64.53,62.44,64.25,12290125.0
2022-08-04,64.12,64.99,63.65,64.85,11338439.0
2022-08-05,62.86,63.22,61.8,62.46,15047086.0
2022-08-08,61.99,62.62,60.98,61.45,11464767.0
2022-08-09,59.0,60.54,57.74,59.15,33107228.0
2022-08-10,60.0,61.56,59.39,61.4,17418395.0
2022-08-11,62.0,64.1,62.0,62.32,18298541.0
2022-08-12,62.66,65.42,62.23,65.04,16193978.0
2022-08-15,64.7,65.12,63.89,64.7,9689080.0
