date,open,high,low,close,volume
2022-01-03,298.15,307.11,297.85,301.21,39240294.0
2022-01-04,302.77,304.68,283.49,292.9,52715440.0
2022-01-05,289.49,294.16,275.33,276.04,49806388.0
2022-01-06,276.4,284.38,270.65,281.78,45418637.0
2022-01-07,281.41,284.22,270.57,272.47,40993851.0
2022-01-10,265.81,274.69,256.44,274.0,59468095.0
2022-01-11,273.23,280.65,268.39,278.17,40408929.0
2022-01-12,280.67,285.95,276.08,279.99,38341348.0
2022-01-13,283.79,284.8,264.98,265.75,53886809.0
2022-01-14,262.85,271.97,262.1,269.42,39583235.0
2022-01-18,262.6,266.38,257.7,259.03,42530617.0
2022-01-19,260.79,265.43,250.52,250.67,48831451.0
2022-01-20,253.04,255.79,240.78,241.5,43518073.0
2022-01-21,235.07,248.23,232.63,233.74,71895784.0
2022-01-24,223.3,233.8,208.88,233.72,91581063.0
2022-01-25,225.46,229.43,220.0,223.24,66461636.0
2022-01-26,232.4,240.57,223.0,227.72,75595873.0
2022-01-27,235.68,239.95,216.75,219.44,57335272.0
2022-01-28,220.12,228.58,212.96,228.4,54377425.0
2022-01-31,231.82,245.09,230.52,244.86,56467968.0
2022-02-01,251.04,251.45,238.9,246.38,51892517.0
2022-02-02,257.94,258.17,245.53,252.42,54341941.0
2022-02-03,244.58,250.77,237.8,239.48,41017778.0
2022-02-04,239.72,246.35,236.32,243.19,35482850.0
2022-02-07,243.72,251.82,242.02,247.28,37686750.0
2022-02-08,243.59,252.3,239.8,251.08,41035864.0
2022-02-09,256.22,267.25,253.53,267.05,52428166.0
2022-02-10,259.95,269.25,256.0,258.24,51319972.0
2022-02-11,259.16,261.52,237.73,239.49,60547198.0
2022-02-14,239.34,248.75,237.55,242.67,44042443.0
2022-02-15,249.49,265.45,247.84,264.95,70175280.0
2022-02-16,262.59,265.82,255.52,265.11,73267633.0
2022-02-17,256.3,257.85,241.65,245.07,81059508.0
2022-02-18,246.68,249.86,231.0,236.42,76125491.0
2022-02-22,230.35,240.64,230.0,233.9,63342244.0
2022-02-23,238.02,241.55,223.01,223.87,56651077.0
2022-02-24,210.15,238.0,208.9,237.48,73580063.0
2022-02-25,237.21,242.17,233.81,241.57,52886551.0
2022-02-28,239.92,246.65,237.07,243.85,47731861.0
2022-03-01,242.91,243.77,231.32,234.77,41205598.0
2022-03-02,237.56,244.09,234.15,242.2,38964185.0
2022-03-03,242.62,243.26,234.69,237.14,36509504.0
2022-03-04,233.84,236.8,224.82,229.36,43201070.0
2022-03-07,228.17,230.33,213.3,213.52,45082089.0
2022-03-08,213.09,223.73,206.5,215.14,55746719.0
2022-03-09,223.87,232.2,222.47,230.14,49274195.0
2022-03-10,225.31,227.88,218.82,226.58,42806565.0
2022-03-11,230.22,231.45,220.46,221.0,36720857.0
2022-03-14,218.69,222.62,211.59,213.3,38535424.0
2022-03-15,215.18,230.38,213.22,229.73,49199569.0
2022-03-16,235.0,245.97,231.72,244.96,67142174.0
2022-03-17,241.2,248.42,239.06,247.66,47194119.0
2022-03-18,247.99,265.69,246.24,264.53,73071856.0
2022-03-21,265.07,271.52,259.67,267.34,59172708.0
2022-03-22,267.27,272.38,260.72,265.24,54700710.0
2022-03-23,261.26,266.12,255.75,256.34,50211986.0
2022-03-24,261.66,283.2,259.07,281.5,87737914.0
2022-03-25,278.86,283.58,272.71,276.92,57901618.0
2022-03-28,277.56,282.5,272.06,282.19,42549392.0
2022-03-29,286.95,289.46,279.8,286.56,48898440.0
2022-03-30,283.04,284.95,275.03,276.9,46348713.0
2022-03-31,277.82,282.48,272.7,272.86,52344022.0
2022-04-01,273.75,274.96,262.67,267.12,51723511.0
2022-04-04,267.28,275.58,266.13,273.6,39770782.0
2022-04-05,272.54,273.19,258.2,259.31,43661473.0
2022-04-06,249.34,253.0,240.03,244.07,70383256.0
2022-04-07,244.41,247.22,234.78,242.08,55799236.0
2022-04-08,239.17,239.23,230.62,231.19,52478064.0
2022-04-11,222.14,223.2,216.6,219.17,57520684.0
2022-04-12,225.37,227.25,212.82,215.04,66225807.0
2022-04-13,217.28,225.0,214.55,222.03,51694344.0
2022-04-14,225.05,227.77,211.63,212.58,56909685.0
