date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-01-02,000660,KRX,-268540,-186401,454167,54.67,171200,2102175,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-03,000660,KRX,877935,521018,-1406538,54.8,181900,4233446,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-06,000660,KRX,1474612,280519,-1786578,55.0,199800,7320382,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-07,000660,KRX,-89178,84953,17897,54.98,195000,6075445,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-08,000660,KRX,-87724,-65165,119808,54.97,194700,4275792,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-09,000660,KRX,2187064,-320660,-1829915,55.27,205000,6692254,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-10,000660,KRX,698663,-426839,-256371,55.37,203500,6149475,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-13,000660,KRX,-858270,75277,775669,55.26,194300,4767294,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-14,000660,KRX,-312171,-98365,410389,55.21,195000,3019149,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-15,000660,KRX,642043,-260055,-446727,55.32,198200,3620460,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-16,000660,KRX,2320966,-172295,-2108693,55.63,210000,6029645,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-17,000660,KRX,1010451,-16007,-980145,55.77,214500,5041329,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-20,000660,KRX,-16603,16646,-7026,55.77,212000,3036234,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-21,000660,KRX,350669,-136234,-204695,55.82,218000,3323212,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-22,000660,KRX,1120727,75134,-1189617,55.97,225500,5901740,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-23,000660,KRX,-602885,-91007,672916,55.88,219500,5994781,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-24,000660,KRX,73967,-193271,99982,55.89,221000,3771572,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-01-31,000660,KRX,-1976027,-36583,2003969,55.62,199200,11871995,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-03,000660,KRX,168039,-220151,59426,55.64,190900,7926444,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-04,000660,KRX,-761014,99208,649193,55.51,191100,5851146,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-05,000660,KRX,831202,-64178,-758544,55.63,198800,4245118,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-06,000660,KRX,1065778,-391203,-664054,55.76,203500,4032622,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-07,000660,KRX,361984,-259811,-103974,55.8,203000,2206293,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-02-10,000660,KRX,38056,-50344,106871,55.8,198100,2779740,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
