date,open,high,low,close,volume
2022-01-03,545.97,553.64,543.82,553.1,566584.0
2022-01-04,555.56,559.02,538.12,551.4,1168257.0
2022-01-05,547.18,551.88,532.19,532.67,1250557.0
2022-01-06,532.59,539.32,526.82,536.81,978129.0
2022-01-07,536.29,538.25,519.61,521.24,761547.0
2022-01-10,514.79,522.56,504.0,521.43,1792463.0
2022-01-11,519.68,531.86,515.84,531.24,1052373.0
2022-01-12,536.37,540.07,529.81,535.14,1190472.0
2022-01-13,543.32,547.85,521.32,522.65,1089564.0
2022-01-14,518.79,535.66,518.44,535.16,1133893.0
2022-01-18,526.61,526.68,510.12,511.24,2563675.0
2022-01-19,515.39,518.56,495.85,496.2,3310558.0
2022-01-20,500.03,504.0,480.0,480.64,2783306.0
2022-01-21,477.28,490.85,471.59,472.64,4648725.0
2022-01-24,462.76,478.93,446.93,478.04,5158196.0
2022-01-25,465.75,471.48,457.55,460.2,3570137.0
2022-01-26,473.12,486.77,460.2,467.27,2836039.0
2022-01-27,471.89,472.46,444.97,446.47,2808296.0
2022-01-28,446.11,455.03,433.28,455.03,2390950.0
2022-01-31,457.31,480.2,454.79,479.47,2615571.0
2022-02-01,484.16,484.94,471.39,483.46,1356314.0
2022-02-02,493.23,496.92,486.26,495.67,1742994.0
2022-02-03,483.2,491.19,472.28,474.1,2168821.0
2022-02-04,471.89,480.9,465.5,476.82,1687200.0
2022-02-07,478.0,484.51,474.75,476.55,1167410.0
2022-02-08,474.53,489.59,473.74,488.6,980395.0
2022-02-09,495.04,504.69,488.84,504.63,1687020.0
2022-02-10,492.32,507.88,486.12,488.9,1538002.0
2022-02-11,489.72,493.28,460.69,464.02,2627280.0
2022-02-14,465.6,473.84,458.4,464.46,1899053.0
2022-02-15,474.51,491.36,473.25,490.09,1627400.0
2022-02-16,484.07,492.07,479.79,490.25,904402.0
2022-02-17,483.74,484.41,471.11,471.84,2000958.0
2022-02-18,472.06,473.8,460.08,466.57,1955440.0
2022-02-22,461.53,474.86,456.37,463.73,2790049.0
2022-02-23,469.11,474.0,451.22,452.68,2175224.0
2022-02-24,435.08,469.99,434.03,469.24,2889666.0
2022-02-25,469.22,477.06,462.57,477.06,2354988.0
2022-02-28,470.85,478.37,464.61,474.16,1453109.0
2022-03-01,472.24,474.99,451.96,456.97,1421876.0
2022-03-02,460.77,474.79,459.7,471.5,950196.0
2022-03-03,474.38,474.52,458.8,461.61,1392639.0
2022-03-04,457.11,461.14,444.3,449.36,1481285.0
2022-03-07,450.7,453.91,426.73,426.82,1956428.0
2022-03-08,429.73,450.89,422.56,435.0,2636475.0
2022-03-09,449.64,456.65,444.52,453.23,1566566.0
2022-03-10,445.21,445.65,435.2,443.93,1601873.0
2022-03-11,450.37,451.2,433.52,434.4,2174788.0
2022-03-14,433.1,435.35,418.36,420.34,1894640.0
2022-03-15,424.55,440.7,421.89,439.66,1326800.0
2022-03-16,447.12,462.37,442.27,462.3,1622882.0
2022-03-17,457.06,465.15,453.53,465.15,1377656.0
2022-03-18,461.91,476.15,459.05,474.23,1668156.0
2022-03-21,472.4,477.17,464.83,473.29,1600502.0
2022-03-22,472.43,481.54,471.96,475.91,962249.0
2022-03-23,471.56,477.33,463.79,463.92,1176789.0
2022-03-24,467.82,486.8,465.9,486.42,1667502.0
2022-03-25,485.88,487.2,477.27,485.32,1035670.0
2022-03-28,482.41,489.09,475.46,489.09,911854.0
2022-03-29,496.89,501.09,490.2,500.3,1031174.0
2022-03-30,496.43,498.19,481.73,484.3,1089722.0
2022-03-31,483.94,486.09,472.01,473.28,1123088.0
2022-04-01,475.28,476.39,457.18,464.11,1797342.0
2022-04-04,465.32,472.31,463.57,471.65,901740.0
2022-04-05,467.79,468.19,448.74,449.94,1351644.0
2022-04-06,440.0,446.72,435.0,438.75,1612265.0
2022-04-07,438.15,443.65,430.51,439.71,1170588.0
2022-04-08,436.06,436.22,428.11,428.8,1500109.0
2022-04-11,422.46,426.0,419.02,419.99,1430621.0
2022-04-12,428.87,432.04,416.52,418.71,1964920.0
2022-04-13,421.42,430.68,418.82,427.72,1103011.0
2022-04-14,430.51,430.61,415.35,415.89,1967763.0
2022-04-18,413.81,426.83,413.3,423.09,1210071.0
2022-04-19,421.4,433.27,419.26,432.36,1012219.0
2022-04-20,439.2,443.01,429.88,431.4,1275370.0
2022-04-21,436.71,441.57,417.72,419.89,1200118.0
2022-04-22,419.23,421.56,409.86,410.55,1523146.0
2022-04-25,407.2,417.6,405.98,417.49,2117913.0
2022-04-26,411.85,412.57,398.51,398.98,1947976.0
2022-04-27,394.58,406.72,393.69,396.8,1450053.0
