date,open,high,low,close,volume
2022-01-03,65.75,66.37,65.04,65.93,2950103.0
2022-01-04,66.2,67.89,65.92,67.62,3753042.0
2022-01-05,67.61,69.36,67.06,67.06,5915882.0
2022-01-06,67.31,68.48,64.52,64.74,7513291.0
2022-01-07,64.66,66.23,64.52,65.83,3841450.0
2022-01-10,65.36,65.95,63.69,65.54,3078902.0
2022-01-11,65.5,66.12,64.24,66.02,3635808.0
2022-01-12,66.55,67.45,65.61,66.54,2154681.0
2022-01-13,66.95,67.76,66.15,66.51,2624244.0
2022-01-14,66.11,67.43,65.97,66.64,2161006.0
2022-01-18,65.85,65.89,63.83,64.12,3079580.0
2022-01-19,64.81,66.1,61.87,61.94,3766911.0
2022-01-20,62.47,62.59,59.77,59.92,3823978.0
2022-01-21,59.34,59.78,57.52,57.81,5086463.0
2022-01-24,57.35,57.47,53.88,57.02,4866135.0
2022-01-25,55.56,56.07,53.98,55.09,5214986.0
2022-01-26,56.53,56.54,54.15,54.58,4579321.0
2022-01-27,56.58,57.48,53.43,53.84,10209289.0
2022-01-28,49.09,52.04,48.62,49.9,19932937.0
2022-01-31,49.51,52.1,49.37,51.74,6532357.0
2022-02-01,51.38,52.78,50.55,52.57,4508601.0
2022-02-02,52.57,53.6,52.0,53.44,4210117.0
2022-02-03,52.56,53.59,52.24,52.29,5104508.0
2022-02-04,51.99,52.5,50.86,51.81,3369068.0
2022-02-07,51.96,52.35,51.34,51.85,3161708.0
2022-02-08,51.63,52.65,51.59,52.37,2763054.0
2022-02-09,52.91,54.53,52.82,54.48,3151155.0
2022-02-10,53.54,56.93,53.44,54.09,6240088.0
2022-02-11,53.95,55.53,53.48,53.73,4462109.0
2022-02-14,53.77,54.51,52.52,52.86,3543299.0
2022-02-15,53.18,55.94,53.11,55.87,3258131.0
2022-02-16,55.06,57.11,54.94,56.39,2651143.0
2022-02-17,55.82,57.56,55.64,56.45,3791348.0
2022-02-18,56.21,56.36,54.62,55.53,3471118.0
2022-02-22,54.78,55.21,52.57,53.42,3446346.0
2022-02-23,54.05,54.17,51.77,51.98,2887123.0
2022-02-24,49.77,51.9,49.2,51.83,4322280.0
