date,breadth,theme_score,theme_nav
2022-01-03,0,,1.0
2022-01-04,0,,1.0083
2022-01-05,0,,0.9911
2022-01-06,0,,0.9832
2022-01-07,0,,0.9926
2022-01-10,0,,0.9842
2022-01-11,0,,0.9966
2022-01-12,0,,1.002
2022-01-13,0,,1.002
2022-01-14,0,,1.0031
2022-01-17,0,,1.0009
2022-01-18,0,,0.9773
2022-01-19,0,,0.9601
2022-01-20,0,,0.936
2022-01-21,0,,0.9052
2022-01-24,0,,0.9034
2022-01-25,0,,0.8845
2022-01-26,0,,0.8828
2022-01-27,0,,0.8575
2022-01-28,0,,0.8626
2022-01-31,0,,0.8787
2022-02-01,0,,0.88
2022-02-02,0,,0.8919
2022-02-03,0,,0.8869
2022-02-04,0,,0.8857
2022-02-07,0,,0.8794
2022-02-08,0,,0.8955
2022-02-09,0,,0.9206
2022-02-10,0,,0.9351
2022-02-11,0,,0.9333
2022-02-14,0,,0.9269
2022-02-15,0,,0.9463
2022-02-16,0,,0.9587
2022-02-17,0,,0.9584
2022-02-18,0,,0.9421
2022-02-21,0,,0.9391
2022-02-22,0,,0.9243
2022-02-23,0,,0.9085
2022-02-24,0,,0.8965
2022-02-25,0,,0.9068
2022-02-28,0,,0.8966
2022-03-01,0,,0.8836
2022-03-02,0,,0.9136
2022-03-03,0,,0.9155
2022-03-04,0,,0.8767
2022-03-07,0,,0.8311
2022-03-08,0,,0.8269
2022-03-09,0,,0.8421
2022-03-10,0,,0.8357
2022-03-11,0,,0.8132
2022-03-14,0,,0.7988
2022-03-15,0,,0.808
2022-03-16,0,,0.8461
2022-03-17,0,,0.8671
2022-03-18,0,,0.8645
2022-03-21,0,,0.8542
2022-03-22,0,,0.8635
2022-03-23,0,,0.8501
2022-03-24,0,,0.858
2022-03-25,0,,0.8545
2022-03-28,0,,0.8586
2022-03-29,0,,0.8747
2022-03-30,0,,0.8625
2022-03-31,0,,0.8486
2022-04-01,0,,0.8335
2022-04-04,0,,0.844
2022-04-05,0,,0.8293
2022-04-06,0,,0.8176
2022-04-07,0,,0.8152
2022-04-08,0,,0.8063
2022-04-11,0,,0.8046
2022-04-12,0,,0.8029
2022-04-13,0,,0.8143
2022-04-14,0,,0.7926
2022-04-15,0,,0.7863
2022-04-18,0,,0.7953
2022-04-19,0,,0.8149
2022-04-20,0,,0.8188
2022-04-21,0,,0.8173
2022-04-22,0,,0.8031
2022-04-25,0,,0.8049
2022-04-26,0,,0.7955
2022-04-27,0,,0.7878
2022-04-28,0,,0.81
2022-04-29,0,,0.8197
2022-05-02,0,,0.8263
2022-05-03,0,,0.8578
2022-05-04,0,,0.8692
2022-05-05,0,,0.8565
2022-05-06,0,,0.8393
2022-05-09,0,,0.8205
2022-05-10,0,,0.83
2022-05-11,0,,0.8192
2022-05-12,0,,0.8155
2022-05-13,0,,0.8504
2022-05-16,0,,0.8397
2022-05-17,0,,0.8715
2022-05-18,0,,0.8576
2022-05-19,0,,0.842
2022-05-20,0,,0.8406
2022-05-23,0,,0.8453
2022-05-24,0,,0.8207
2022-05-25,0,,0.8324
2022-05-26,0,,0.8351
