date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2022-01-03,,,,,,,,,95.75,1792410987.75,,,,,,,
2022-01-04,,,,,100.0,,,,96.34,1900308426.8,,,,,100.0,,
2022-01-05,,,,,79.8127,,,,94.4,2701079377.6,,,,,79.8127,,
2022-01-06,,,,,82.2931,,,,95.65,2134933251.6,,,,,82.2931,,
2022-01-07,,,,,73.0179,,,,94.45,1403324782.55,,,,,73.0179,,
2022-01-10,,,,,69.1036,,,,93.89,1905027818.33,,,,,69.1036,,
2022-01-11,,,,,70.0604,,,,94.2,1405924261.2,,,,,70.0604,,
2022-01-12,,,,,72.7301,,,,95.11,1268689790.24,,,,,72.7301,,
2022-01-13,,,,,74.1228,,,,95.62,2264265344.6,,,,,74.1228,,
2022-01-14,,,,,78.2113,,,,97.36,1789962918.48,,,,,78.2113,,
2022-01-18,,,,,54.3488,,,,92.87,1849985352.07,,,,,54.3488,,
2022-01-19,,,,,44.9155,,,,90.0,1713938940.0,,,,,44.9155,,
2022-01-20,,,,,33.9989,,,,85.07,2101343163.94,,,,,33.9989,,
2022-01-21,,,,,29.1408,,,,81.93,2434658015.67,,,,,29.1408,,
2022-01-24,,,,,32.5142,,,,82.95,2469390725.55,,,,,32.5142,,
2022-01-25,,,,,29.2371,,,,80.72,1786202833.6,,,,,29.2371,,
2022-01-26,,,,,33.2956,,,,81.97,1722899724.14,,,,,33.2956,,
2022-01-27,,,,,28.6885,,,,78.72,1786468924.8,,,,,28.6885,,
2022-01-28,,,,,30.4426,,,,79.27,1936934388.42,,,,,30.4426,,
2022-01-31,,,,,39.2239,,,,82.27,1801564502.65,,0.0341,,,39.2239,,
2022-02-01,,,,,37.8185,,28.2918,,81.45,1241086392.9,,0.0329,,,37.8185,40.008,0.2829
2022-02-02,,,,,45.6452,,30.0044,,84.51,1678607425.26,,0.0322,,,45.6452,42.8452,0.3
2022-02-03,,,,,41.0288,,42.5026,,81.97,1606461585.05,,0.0312,,,41.0288,43.4278,0.425
2022-02-04,,,,,39.668,,22.0334,,81.17,1270920005.53,,0.0301,,,39.668,42.7702,0.2203
2022-02-07,,,,,39.1437,,20.692,,80.87,954248532.08,,0.0298,,,39.1437,42.7652,0.2069
2022-02-08,,,,,47.2741,,23.3026,,84.12,1540720217.04,,0.0299,,,47.2741,45.9326,0.233
2022-02-09,,,,,55.2061,,28.0101,,88.12,1972734861.68,,0.0302,,,55.2061,49.4483,0.2801
2022-02-10,,,,,59.9145,,27.3649,,91.02,3078359749.92,,0.031,,,59.9145,50.8787,0.2736
2022-02-11,,,,,57.1059,,27.9895,,89.76,2782558204.8,,0.0307,,,57.1059,50.9599,0.2799
2022-02-14,,,,,57.277,,27.9034,,89.86,2111628766.56,,0.0308,,,57.277,50.3771,0.279
2022-02-15,,,,,66.1967,,22.7304,,96.0,2600018784.0,,0.0317,,,66.1967,53.4502,0.2273
2022-02-16,,,,,66.2708,,23.7121,,96.06,1495999631.76,,0.0318,,,66.2708,52.0136,0.2371
2022-02-17,,,,,60.7051,,22.7449,,93.73,1681824103.05,,0.0317,,,60.7051,48.2731,0.2274
2022-02-18,,,,,54.506,,21.1569,,90.8,1773370580.4,,0.032,,,54.506,47.631,0.2116
2022-02-22,,,,,54.0395,,22.2872,,90.57,2248465188.69,,0.0334,,,54.0395,47.6247,0.2229
2022-02-23,,,,,47.7952,,22.4437,,87.31,1670712385.17,,0.0338,,,47.7952,48.5616,0.2244
2022-02-24,,,,,50.6581,,16.5633,,88.83,2173875741.45,,0.0339,,,50.6581,48.6253,0.1656
2022-02-25,,,,,52.9783,,23.3996,,90.1,1352280085.8,,0.0339,,,52.9783,45.7822,0.234
2022-02-28,,,,,50.4822,,27.3253,,88.86,1534593361.68,,0.0338,,,50.4822,46.3623,0.2733
2022-03-01,,,,,45.628,,28.1165,,86.26,1793762553.36,,0.0341,,,45.628,46.4222,0.2812
2022-03-02,,,,,57.5349,,29.9415,,93.3,2649598710.0,,0.0355,,,57.5349,53.3909,0.2994
2022-03-03,,,,,50.5571,,29.2746,,89.18,1970855883.36,,0.036,,,50.5571,55.1714,0.2927
2022-03-04,,,,,41.0878,,38.7829,,81.91,2311641740.48,,0.0368,,,41.0878,62.439,0.3878
2022-03-07,,,,,35.0489,,49.2017,,75.7,2022364182.7,,0.0374,,,35.0489,68.3963,0.492
2022-03-08,,,,,37.3792,,44.744,,77.16,2186960000.28,,0.0375,,,37.3792,68.8643,0.4474
2022-03-09,,,,,40.9426,,44.3182,,79.44,1560825283.44,,0.037,,,40.9426,68.1304,0.4432
2022-03-10,,,,,37.221,,39.8464,,75.72,1642514832.6,,0.0368,,,37.221,67.3038,0.3985
2022-03-11,,,,,34.582,,40.5746,,72.82,1659313585.38,,0.0363,,,34.582,66.4492,0.4057
2022-03-14,,,,,31.7253,,37.3343,,69.4,1727605013.6,,0.0362,,,31.7253,67.7333,0.3733
2022-03-15,,,,,37.7343,,34.2079,,73.11,1670633978.04,,0.0361,-0.1573,,37.7343,71.4424,0.3421
2022-03-16,,,,,46.6717,,40.8821,,79.67,2847626087.55,,0.0355,-0.0782,,46.6717,74.5356,0.4088
2022-03-17,,,,,47.7189,,42.9372,,80.52,1740217886.88,,0.0355,-0.065,,47.7189,74.7963,0.4294
2022-03-18,,,,,46.4365,,47.0772,,79.41,2271217956.78,,0.036,-0.0746,,46.4365,74.5942,0.4708
2022-03-21,,,,,45.1877,,46.046,,78.35,2419304071.05,,0.0372,-0.0833,,45.1877,74.1116,0.4605
2022-03-22,,,,,46.3171,,47.6862,,79.12,1326687483.04,,0.037,-0.071,,46.3171,74.3468,0.4769
2022-03-23,,,,,42.1066,,46.5798,,75.65,2122724096.95,,0.0382,-0.1079,,42.1066,74.8389,0.4658
2022-03-24,,,,,46.0063,,43.8396,,78.21,1826050912.29,,0.0403,-0.0742,,46.0063,75.743,0.4384
2022-03-25,,,,,45.8633,,43.1712,,78.1,1756550458.3,,0.0416,-0.0718,,45.8633,75.3829,0.4317
2022-03-28,,,,,48.6146,,44.2086,,79.86,2124697421.22,,0.0437,-0.0473,,48.6146,76.0449,0.4421
2022-03-29,,,,,51.8909,,44.8339,,82.05,3387905217.0,1.0666,0.0464,-0.0176,,51.8909,76.3017,0.4483
2022-03-30,,,,,47.5797,,43.8009,,79.16,5548089057.32,1.1076,0.0506,-0.049,-0.1733,47.5797,70.8069,0.438
2022-03-31,,,,,45.7796,,45.6456,,77.89,2694108702.26,1.1194,0.0509,-0.0616,-0.1915,45.7796,69.537,0.4565
2022-04-01,,,,,43.3989,,47.9653,,76.18,2554776669.9,1.1206,0.0517,-0.0802,-0.193,43.3989,63.469,0.4797
2022-04-04,,,,,46.0325,,45.438,,77.67,1888958167.02,1.1183,0.0534,-0.0612,-0.188,46.0325,57.3072,0.4544
2022-04-05,,,,,41.7374,,43.0598,,74.61,1579599720.81,1.1068,0.055,-0.0964,-0.2101,41.7374,58.7101,0.4306
2022-04-06,,,,,40.6301,,43.9624,,73.78,2071750958.48,1.119,0.0558,-0.105,-0.2142,40.6301,57.6391,0.4396
2022-04-07,,,,,39.9425,,52.1388,,73.28,1660424846.08,1.1223,0.0561,-0.1091,-0.2221,39.9425,55.2489,0.5214
2022-04-08,,,,,38.3492,,49.3214,,72.14,1483383439.1,1.1222,0.0562,-0.1216,-0.2415,38.3492,53.7523,0.4932
2022-04-11,,,,,38.1909,,50.4446,,72.03,1521844149.63,1.1209,0.056,-0.1214,-0.2467,38.1909,50.7358,0.5044
2022-04-12,,,,,38.0832,,56.1658,,71.96,1342666091.76,1.1178,0.0562,-0.12,-0.2609,38.0832,47.1385,0.5617
2022-04-13,,,,,39.1916,,47.1488,,72.38,1367402308.58,1.085,0.0565,-0.1129,-0.2206,39.1916,34.4649,0.4715
2022-04-14,,,,,35.5228,,49.7167,,70.13,1300458319.94,1.0789,0.0561,-0.1375,-0.2208,35.5228,35.2087,0.4972
2022-04-18,,,,,38.3407,,53.4424,,71.15,1243470051.0,1.058,0.0561,-0.1226,-0.1636,38.3407,35.8932,0.5344
2022-04-19,,,,,42.5307,,57.6116,,72.73,1101057288.1,1.0302,0.0546,-0.1012,-0.1123,42.5307,37.0353,0.5761
2022-04-20,,,,,43.755,,56.3584,,73.2,1393916343.6,1.0358,0.0551,-0.0937,-0.1175,43.755,36.8926,0.5636
2022-04-21,,,,,39.3728,,55.8933,,70.92,1251408009.24,1.0179,0.0537,-0.119,-0.1214,39.3728,35.2073,0.5589
2022-04-22,,,,,36.7478,,66.4089,,69.41,1296747605.12,1.0084,0.0511,-0.1338,-0.1532,36.7478,32.9734,0.6641
2022-04-25,,,,,38.8134,,63.3769,,70.12,1407456773.92,1.0027,0.0495,-0.1203,-0.1092,38.8134,33.4391,0.6338
2022-04-26,,,,,33.7337,,57.2083,,67.08,1249612793.52,0.984,0.0476,-0.1536,-0.1538,33.7337,34.4705,0.5721
2022-04-27,,,,,32.8059,,48.343,,66.47,1138208417.27,0.9294,0.0442,-0.1564,-0.1921,32.8059,31.7777,0.4834
2022-04-28,,,,,43.0627,,48.7563,,70.18,1477879564.7,0.8238,0.0386,-0.1034,-0.1384,43.0627,37.7949,0.4876
2022-04-29,,,,,39.5733,,42.8359,,68.19,1148557037.58,0.7865,0.0365,-0.1226,-0.1931,39.5733,38.5012,0.4284
2022-05-02,,,,,45.3489,,40.2299,,70.6,1083201962.4,0.751,0.0336,-0.0861,-0.1387,45.3489,40.6929,0.4023
2022-05-03,,,,,46.8472,,33.3592,,71.26,964794698.28,0.7305,0.0319,-0.0729,-0.1221,46.8472,40.085,0.3336
2022-05-04,,,,,51.9229,,32.3201,,73.62,1266406896.42,0.7247,0.0305,-0.0379,-0.0897,51.9229,39.7661,0.3232
2022-05-05,,,,,47.1371,,33.1728,,71.29,1183668291.43,0.7036,0.0287,-0.0645,-0.1525,47.1371,41.1739,0.3317
2022-05-06,,,,,45.3221,,33.0002,,70.35,1066489749.15,0.6908,0.0273,-0.0723,-0.2017,45.3221,41.3437,0.33
2022-05-09,,,,,40.9505,,33.9989,,67.93,1478895606.68,0.6922,0.0265,-0.099,-0.2537,40.9505,42.735,0.34
2022-05-10,,,,,43.3342,,33.1022,,68.91,1217134176.24,0.6864,0.0258,-0.0811,-0.2323,43.3342,43.1759,0.331
2022-05-11,,,,,39.8842,,32.7481,,66.96,1154206393.92,0.684,0.0251,-0.1025,-0.2548,39.8842,44.1807,0.3275
2022-05-12,,,,,41.8033,,31.4826,,67.71,1829721710.07,0.6967,0.0252,-0.0862,-0.2947,41.8033,44.371,0.3148
2022-05-13,,,,,51.2175,,38.7734,,71.92,1644952226.24,0.7069,0.0256,-0.0248,-0.2513,51.2175,48.419,0.3877
2022-05-16,,,,,48.3183,,33.0944,,70.47,943927891.56,0.7023,0.0252,-0.0415,-0.2482,48.3183,48.7377,0.3309
2022-05-17,,,,,55.774,,38.5254,,74.48,1316172277.28,0.7103,0.0254,0.0134,-0.1797,55.774,52.1007,0.3853
2022-05-18,,,,,49.2317,,35.3223,,71.05,1466120728.8,0.7137,0.0251,-0.0317,-0.2155,49.2317,54.7873,0.3532
2022-05-19,,,,,46.4114,,37.6207,,69.4,1218521799.4,0.7151,0.025,-0.0515,-0.2051,46.4114,54.2665,0.3762
2022-05-20,,,,,45.5597,,36.5501,,68.9,1399586576.7,0.7196,0.0252,-0.0566,-0.2244,45.5597,53.7877,0.3655
2022-05-23,,,,,47.005,,34.431,,69.59,859870672.01,0.708,0.0252,-0.0463,-0.2276,47.005,53.7822,0.3443
2022-05-24,,,,,41.8541,,39.8587,,66.62,1250093055.22,0.7101,0.0254,-0.0863,-0.2503,41.8541,53.7062,0.3986
2022-05-25,,,,,44.6055,,43.7355,,67.87,1102286850.5,0.7118,0.0258,-0.0679,-0.2132,44.6055,54.0051,0.4374
2022-05-26,,,,,50.153,,39.8282,,70.6,1052117135.4,0.7025,0.0256,-0.0279,-0.2433,50.153,52.2898,0.3983
2022-05-27,,,,,54.9896,,42.1922,,73.32,958931530.44,0.7002,0.0261,0.0115,-0.1778,54.9896,52.7197,0.4219
2022-05-31,,,,,55.8712,,47.2915,,73.84,1141048781.6,0.7042,0.0269,0.0203,-0.0985,55.8712,51.4541,0.4729
