date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2022-01-03,,,,,,,,,78600.0,1061266003200.0,,,,,,,
2022-01-04,,,,,100.0,,,,78700.0,978037639200.0,,,,,100.0,,
2022-01-05,,,,,50.0,,,,77400.0,1971427536000.0,,,,,50.0,,
2022-01-06,,,,,41.4216,,,,76900.0,994467262600.0,,,,,41.4216,,
2022-01-07,,,,,61.3941,,,,78300.0,1187322173100.0,,,,,61.3941,,
2022-01-10,,,,,56.9159,,,,78000.0,775898916000.0,,,,,56.9159,,
2022-01-11,,,,,65.1327,,,,78900.0,1043146604700.0,,,,,65.1327,,
2022-01-12,,,,,65.1327,,,,78900.0,867939607800.0,,,,,65.1327,,
2022-01-13,,,,,52.2835,,,,77900.0,1081984337900.0,,,,,52.2835,,
2022-01-14,,,,,46.3723,,,,77300.0,780476842500.0,,,,,46.3723,,
2022-01-17,,,,,48.4639,,,,77500.0,680846955000.0,,,,,48.4639,,
2022-01-18,,,,,43.8584,,,,77000.0,738644676000.0,,,,,43.8584,,
2022-01-19,,,,,38.3621,,,,76300.0,808649527000.0,,,,,38.3621,,
2022-01-20,,,,,40.6506,,,,76500.0,742674852000.0,,,,,40.6506,,
2022-01-21,,,,,34.4518,,,,75600.0,1192581532800.0,,,,,34.4518,,
2022-01-24,,,,,31.5714,,,,75100.0,1028204163400.0,,,,,31.5714,,
2022-01-25,,,,,26.3516,,,,74000.0,1314736096000.0,,,,,26.3516,,
2022-01-26,,,,,23.6697,,,,73300.0,951194309000.0,,,,,23.6697,,
2022-01-27,,,,,18.0252,,,,71300.0,1588191600100.0,,,,,18.0252,,
2022-01-28,,,,,34.7758,,,,73300.0,1566233865100.0,,680.4591,,,34.7758,,
2022-02-03,,,,,34.7758,,42.5026,,73300.0,1300688049300.0,,690.7907,,,34.7758,19.7243,0.425
2022-02-04,,,,,39.7714,,22.0334,,74000.0,942022516000.0,,698.2025,,,39.7714,20.1988,0.2203
2022-02-07,,,,,35.579,,20.692,,73000.0,1039581174000.0,,694.5388,,,35.579,19.9543,0.2069
2022-02-08,,,,,39.0392,,23.3026,,73500.0,862644951000.0,,708.1313,,,39.0392,20.1975,0.233
2022-02-09,,,,,46.4704,,28.0101,,74700.0,724524413400.0,,695.049,,,46.4704,19.9605,0.2801
2022-02-10,,,,,50.278,,27.3649,,75400.0,1338050888200.0,,714.1736,,,50.278,20.3734,0.2736
2022-02-11,,,,,47.6697,,27.9895,,74900.0,914184984300.0,,718.0954,,,47.6697,19.8283,0.2799
2022-02-14,,,,,42.0336,,27.9034,,73700.0,1031302893500.0,,720.7252,,,42.0336,20.3687,0.279
2022-02-15,,,,,42.0336,,22.7304,,73700.0,686910900500.0,,712.2743,,,42.0336,20.0938,0.2273
2022-02-16,,,,,48.5061,,23.7121,,74800.0,805400472800.0,,723.4278,,,48.5061,20.9319,0.2371
2022-02-17,,,,,49.6079,,22.7449,,75000.0,1020403650000.0,,736.5216,,,49.6079,20.9342,0.2274
2022-02-18,,,,,45.9058,,21.1569,,74300.0,752081391800.0,,741.7108,,,45.9058,21.0483,0.2116
2022-02-21,,,,,45.3847,,21.1918,,74200.0,778337001400.0,,739.5374,,,45.3847,20.8685,0.2119
2022-02-22,,,,,41.3419,,22.2872,,73400.0,858227224600.0,,727.4202,,,41.3419,21.071,0.2229
2022-02-23,,,,,39.4496,,22.4437,,73000.0,759051372000.0,,713.3682,,,39.4496,20.799,0.2244
2022-02-24,,,,,33.2953,,16.5633,,71500.0,1126788734500.0,,689.4007,,,33.2953,21.8185,0.1656
2022-02-25,,,,,36.1556,,23.3996,,71900.0,946813999600.0,,676.0877,,,36.1556,21.4897,0.234
2022-02-28,,,,,37.5965,,27.3253,,72100.0,1282066554300.0,,678.6626,,,37.5965,21.3199,0.2733
2022-03-02,,,,,35.8537,,29.9415,,71700.0,894918531000.0,,652.1981,,,35.8537,18.9404,0.2994
2022-03-03,,,,,44.2091,,29.2746,,72900.0,964659310200.0,,621.2362,,,44.2091,17.14,0.2927
2022-03-04,,,,,37.9916,,38.7829,,71500.0,958788831000.0,,592.7018,,,37.9916,18.4323,0.3878
2022-03-07,,,,,32.9943,,49.2017,,70100.0,1305061373800.0,,603.4349,,,32.9943,19.0865,0.492
2022-03-08,,,,,31.1059,,44.744,,69500.0,1100064695500.0,,600.2159,,,31.1059,18.7876,0.4474
2022-03-10,,,,,41.3487,,39.8464,,71200.0,1506538457600.0,,618.3861,,,41.3487,20.822,0.3985
2022-03-11,,,,,37.15,,40.5746,,70000.0,1105135850000.0,,618.1414,,,37.15,20.3909,0.4057
2022-03-14,,,,,38.275,,37.3343,,70200.0,634677708600.0,,591.6276,,,38.275,19.9868,0.3733
2022-03-15,,,,,35.8559,,34.2079,,69500.0,712970059000.0,,580.8404,,,35.8559,20.0911,0.3421
2022-03-16,,,,,41.0176,,40.8821,,70400.0,716372800000.0,,566.346,,,41.0176,20.3525,0.4088
2022-03-17,,,,,45.2361,,42.9372,,71200.0,1256417628000.0,,585.2406,,,45.2361,20.9088,0.4294
2022-03-18,,,,,43.1584,,47.0772,,70700.0,1018789686600.0,,581.3402,-0.0462,,43.1584,20.0369,0.4708
