date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2025-02-24,,,,,,,44.0772,,48.6,1645028254.8,,,,,,,0.4408
2025-02-25,,,,,0.0,,42.7935,,48.16,394855315.68,,,,,0.0,,0.4279
2025-02-26,,,,,0.0,,42.4138,,46.58,390759387.1,,,,,0.0,,0.4241
2025-02-27,,,,,0.0,,41.8913,,45.16,436973217.92,,,,,0.0,,0.4189
2025-02-28,,,,,18.1663,,38.6597,,46.85,361393731.95,,,,,18.1663,,0.3866
2025-03-03,,,,,41.5696,,39.4315,,50.31,242139615.12,,,,,41.5696,,0.3943
2025-03-04,,,,,36.3307,,33.4554,,48.69,295776071.82,,,,,36.3307,,0.3346
2025-03-05,,,,,35.6732,,29.3393,,48.47,245828061.79,,,,,35.6732,,0.2934
2025-03-06,,,,,30.3725,,29.0331,,46.5,193315194.0,,,,,30.3725,,0.2903
2025-03-07,,,,,49.0107,,26.4708,,51.0,399118605.0,,,,,49.0107,,0.2647
2025-03-10,,,,,54.8016,,26.2612,,53.0,276856948.0,,,,,54.8016,,0.2626
2025-03-11,,,,,52.124,,27.4289,,52.16,164480040.0,,,,,52.124,,0.2743
2025-03-12,,,,,47.0543,,30.4292,,50.44,109832494.72,,,,,47.0543,,0.3043
2025-03-13,,,,,41.9456,,31.1058,,48.44,171835523.16,,,,,41.9456,,0.3111
2025-03-14,,,,,57.7166,,33.7564,,54.82,265734468.0,,,,,57.7166,,0.3376
2025-03-17,,,,,59.2669,,34.1074,,55.65,163091062.05,,,,,59.2669,,0.3411
2025-03-18,,,,,60.7063,,33.0036,,56.42,145975635.26,,,,,60.7063,,0.33
2025-03-19,,,,,60.4375,,33.8535,,56.33,141988946.79,,,,,60.4375,,0.3385
2025-03-20,,,,,60.0556,,35.0004,,56.21,151875372.88,,,,,60.0556,,0.35
2025-03-21,,,,,53.2606,,31.3599,,53.96,343841969.44,,0.0079,,,53.2606,,0.3136
2025-03-24,,,,,50.6024,,35.876,,52.99,188805966.51,,0.0061,,,50.6024,74.4382,0.3588
2025-03-25,,,,,48.4802,,28.6526,,52.2,160722025.2,,0.0059,,,48.4802,74.6094,0.2865
2025-03-26,,,,,49.6883,,28.7257,,52.62,65375140.62,,0.0055,,,49.6883,73.2935,0.2873
2025-03-27,,,,,50.4627,,29.2212,,52.88,85560157.28,,0.0052,,,50.4627,71.9824,0.2922
2025-03-28,,,,,40.3937,,32.961,,48.97,195255779.41,,0.005,,,40.3937,77.0536,0.3296
2025-03-31,,,,,37.5846,,38.8663,,47.61,100617307.65,,0.0048,,,37.5846,73.2251,0.3887
2025-04-01,,,,,39.2571,,39.8438,,48.11,101782237.65,,0.0048,,,39.2571,72.4812,0.3984
2025-04-02,,,,,38.2848,,40.971,,47.67,82222217.07,,0.0045,,,38.2848,72.5336,0.4097
2025-04-03,,,,,24.3791,,53.0706,,38.26,282063126.72,,0.0045,,,24.3791,105.8097,0.5307
2025-04-04,,,,,18.2099,,61.9896,,30.11,344112797.42,,0.0041,,,18.2099,126.8287,0.6199
2025-04-07,,,,,21.7926,,53.8257,,31.48,196387161.52,,0.0037,,,21.7926,127.2547,0.5383
2025-04-08,,,,,24.0673,,53.0929,,32.35,193442648.0,,0.0036,,,24.0673,128.6266,0.5309
2025-04-09,,,,,34.1028,,48.6696,,36.58,204894493.18,,0.0034,,,34.1028,138.6629,0.4867
2025-04-10,,,,,28.7731,,40.2498,,31.075,129064294.7,,0.0032,,,28.7731,148.0408,0.4025
2025-04-11,,,,,30.6702,,38.8732,,31.97,155246256.06,,0.0031,,,30.6702,139.1797,0.3887
2025-04-14,,,,,34.0116,,38.48,,33.55,137630823.0,,0.003,,,34.0116,140.9961,0.3848
2025-04-15,,,,,33.6578,,38.7226,,33.23,64359465.24,,0.003,,,33.6578,140.3811,0.3872
2025-04-16,,,,,32.3008,,38.1344,,32.03,74343071.35,,0.0029,,,32.3008,140.1096,0.3813
2025-04-17,,,,,31.4585,,37.8307,,31.29,64374199.89,,0.0028,,,31.4585,139.7874,0.3783
2025-04-21,,,,,29.7856,,38.6266,,29.81,76892212.1,,0.0026,,,29.7856,139.8968,0.3863
2025-04-22,,,,,29.5682,,38.7394,,29.62,85411284.16,,0.0025,,,29.5682,140.0872,0.3874
2025-04-23,,,,,31.6602,,40.4986,,30.36,83495313.0,,0.0024,,,31.6602,141.319,0.405
2025-04-24,,,,,36.9225,,41.0249,,32.29,83647503.32,,0.0024,,,36.9225,144.3353,0.4102
2025-04-25,,,,,38.4046,,41.399,,32.85,43429211.1,,0.0023,,,38.4046,144.7312,0.414
2025-04-28,,,,,37.4238,,40.1567,,32.27,45857154.42,,0.0022,,,37.4238,143.3738,0.4016
2025-04-29,,,,,39.3506,,39.5086,,32.94,45652633.02,,0.0022,,,39.3506,144.0853,0.3951
2025-04-30,,,,,37.7979,,37.0809,,32.11,74562855.77,,0.0021,,,37.7979,143.6947,0.3708
2025-05-01,,,,,39.2899,,36.9539,,32.59,62258143.55,,0.0021,,,39.2899,144.1915,0.3695
2025-05-02,,,,,44.6782,,34.6393,,34.4,75455299.2,,0.002,,,44.6782,125.0975,0.3464
2025-05-05,,,,,45.285,,32.4583,,34.61,69004241.26,,0.0019,-0.1901,,45.285,89.3859,0.3246
2025-05-06,,,,,43.3817,,32.5389,,33.83,57767397.57,,0.002,-0.2028,,43.3817,88.8282,0.3254
2025-05-07,,,,,46.8947,,27.7977,,34.97,127306746.32,,0.002,-0.1708,,46.8947,89.0602,0.278
2025-05-08,,,,,51.6811,,9.3462,,36.66,182162623.5,,0.0022,-0.1266,,51.6811,79.1481,0.0935
2025-05-09,,,,,54.5031,,1.2574,,37.74,76959143.82,,0.0024,-0.0977,,54.5031,50.968,0.0126
2025-05-12,,,,,62.2615,,11.3762,,41.27,221811227.72,,0.0025,-0.0106,,62.2615,58.0452,0.1138
2025-05-13,,,,,63.6423,,12.2101,,42.0,91839972.0,,0.0024,0.0109,,63.6423,56.5608,0.1221
2025-05-14,,,,,63.4027,,37.2277,,41.93,76665902.18,,0.0024,0.0125,,63.4027,56.2433,0.3723
2025-05-15,,,,,58.6794,,36.4608,,40.54,78284402.14,,0.0024,-0.0173,,58.6794,55.9026,0.3646
2025-05-16,,,,,58.3427,,36.7828,,40.44,86232153.12,,0.0024,-0.0168,,58.3427,54.6372,0.3678
2025-05-19,,,,,52.9143,,35.138,,38.78,68460738.36,0.4659,0.0024,-0.0516,,52.9143,53.7057,0.3514
2025-05-20,,,,,56.5833,,31.2268,,40.18,70567732.2,0.4667,0.0024,-0.0111,-0.1733,56.5833,53.7404,0.3123
2025-05-21,,,,,51.6882,,34.5918,,38.6,70104200.6,0.4677,0.0024,-0.0436,-0.1985,51.6882,57.0519,0.3459
2025-05-22,,,,,49.4712,,33.0478,,37.84,66785291.76,0.4678,0.0023,-0.0566,-0.1876,49.4712,54.9465,0.3305
2025-05-23,,,,,47.8428,,33.307,,37.28,45962847.52,0.474,0.0023,-0.0653,-0.1745,47.8428,55.4084,0.3331
2025-05-27,,,,,50.654,,30.8233,,38.18,53866329.36,0.4814,0.0022,-0.0347,-0.1851,50.654,54.9732,0.3082
2025-05-28,,,,,51.895,,31.9993,,38.58,40732185.3,0.4857,0.0022,-0.0161,-0.2332,51.895,54.7938,0.32
2025-05-29,,,,,51.96,,38.1164,,38.6,57972066.2,0.4858,0.0022,-0.0066,-0.2072,51.96,53.4503,0.3812
2025-05-30,,,,,48.7309,,40.0557,,37.69,207275438.89,0.5262,0.0023,-0.0206,-0.2224,48.7309,54.6605,0.4006
2025-06-02,,,,,47.474,,38.3888,,37.33,60510698.11,0.5269,0.0023,-0.0203,-0.1972,47.474,52.0421,0.3839
2025-06-03,,,,,52.2959,,39.2256,,38.64,49998537.12,0.5267,0.0022,0.0223,-0.2424,52.2959,53.1516,0.3923
2025-06-04,,,,,56.1967,,44.6999,,39.82,74083158.82,0.5357,0.0022,0.0609,-0.2487,56.1967,52.7296,0.447
2025-06-05,,,,,53.4068,,44.859,,39.12,213632129.28,0.5592,0.0023,0.0496,-0.25,53.4068,52.624,0.4486
2025-06-06,,,,,53.5133,,45.5516,,39.15,428909704.2,0.6191,0.0026,0.058,-0.2238,53.5133,50.2862,0.4555
2025-06-09,,,,,61.8684,,46.7646,,41.82,459613007.76,0.7138,0.003,0.137,-0.1367,61.8684,54.3409,0.4676
2025-06-10,,,,,60.8538,,40.5231,,41.59,168693157.41,0.6992,0.003,0.1353,-0.2413,60.8538,44.3402,0.4052
2025-06-11,,,,,55.0995,,37.0652,,40.23,156565504.8,0.7186,0.003,0.1026,-0.2771,55.0995,45.3871,0.3707
2025-06-12,,,,,58.43,,26.4579,,41.3,84748136.9,0.7258,0.003,0.1361,-0.268,58.43,46.495,0.2646
2025-06-13,,,,,61.8479,,28.1407,,42.5,117124432.5,0.74,0.003,0.1725,-0.2455,61.8479,45.8975,0.2814
2025-06-16,,,,,66.1225,,30.5293,,44.21,128288091.69,0.7546,0.0031,0.2157,-0.2135,66.1225,47.6891,0.3053
2025-06-17,,,,,65.5673,,31.1239,,44.09,128516971.02,0.7744,0.0031,0.2031,-0.1829,65.5673,44.5611,0.3112
2025-06-18,,,,,71.0804,,30.5946,,46.62,156240123.48,0.8001,0.0032,0.2617,-0.1202,71.0804,46.8449,0.3059
2025-06-20,,,,,70.8872,,25.7259,,46.58,221847451.02,0.841,0.0033,0.251,-0.1077,70.8872,43.5139,0.2573
