name,date,score,fwd20_maxdd%,fwd40_maxdd%,fwd60_maxdd%,fwd40_ret%,fwd40_maxgain%
MU,2024-03-21,87.5,-2.8,-2.8,-2.8,14.1,16.5
MU,2026-01-28,86.6,-14.3,-18.3,-26.1,-18.3,6.1
MU,2026-05-13,85.6,-15.2,-15.2,,16.8,51.0
SNDK,2025-11-07,85.6,-18.8,-18.8,-18.8,47.6,47.6
WDC,2025-09-30,85.1,-5.8,-5.8,-5.8,29.4,45.1
WDC,2025-11-03,85.0,-11.9,-11.9,-11.9,9.0,18.5
WDC,2026-01-28,86.9,-10.5,-12.3,-12.3,-2.3,13.3
WDC,2026-06-17,85.8,-25.3,-25.3,,-25.3,4.8
SK_HYNIX,2023-07-28,85.5,-10.3,-11.2,-11.2,-8.6,0.0
SK_HYNIX,2024-03-27,85.8,-5.8,-5.8,-5.8,11.8,11.8
SK_HYNIX,2025-10-16,86.0,0.0,0.0,0.0,24.9,37.0
SK_HYNIX,2026-05-15,85.1,-4.1,-4.1,,22.3,60.5
SAMSUNG,2024-04-02,86.7,-11.2,-13.5,-13.5,-10.9,0.4
SAMSUNG,2025-10-15,85.4,0.0,-0.2,-0.2,13.7,16.9
SAMSUNG,2026-01-06,86.2,-0.9,-0.9,-0.9,24.9,56.9
SAMSUNG,2026-05-29,86.1,-6.8,-10.0,,-10.0,14.4
