date,close,score,pos
2023-01-03,50.37,,1.0
2023-01-04,54.2,,1.0
2023-01-05,54.71,,1.0
2023-01-06,56.77,,1.0
2023-01-09,56.36,,1.0
2023-01-10,57.21,,1.0
2023-01-11,58.06,,1.0
2023-01-12,57.27,,1.0
2023-01-13,56.93,,1.0
2023-01-17,56.85,,1.0
2023-01-18,56.51,,1.0
2023-01-19,56.36,,1.0
2023-01-20,58.46,,1.0
2023-01-23,61.82,,1.0
2023-01-24,61.26,,1.0
2023-01-25,61.54,,1.0
2023-01-26,62.8,,1.0
2023-01-27,63.87,43.755,1.0
2023-01-30,61.71,38.474,1.0
2023-01-31,60.3,40.849,1.0
2023-02-01,62.6,44.203,1.0
2023-02-02,63.17,35.406,1.0
2023-02-03,62.41,33.563,1.0
2023-02-06,59.98,34.012,1.0
2023-02-07,62.13,36.703,1.0
2023-02-08,60.25,35.564,1.0
2023-02-09,60.18,35.77,1.0
2023-02-10,59.82,35.167,1.0
2023-02-13,60.12,34.757,1.0
2023-02-14,62.07,38.014,1.0
2023-02-15,61.84,39.142,1.0
2023-02-16,60.05,39.981,1.0
2023-02-17,59.01,37.294,1.0
2023-02-21,57.6,27.535,1.0
2023-02-22,56.98,27.097,1.0
2023-02-23,58.75,31.731,1.0
2023-02-24,58.18,30.385,1.0
2023-02-27,57.9,29.13,1.0
2023-02-28,57.82,27.082,1.0
2023-03-01,57.34,26.589,1.0
2023-03-02,56.43,25.376,1.0
2023-03-03,56.78,24.87,1.0
2023-03-06,56.83,22.875,1.0
2023-03-07,55.56,21.75,1.0
2023-03-08,56.89,20.055,1.0
2023-03-09,55.6,18.338,1.0
2023-03-10,54.93,20.045,1.0
2023-03-13,53.9,23.139,1.0
2023-03-14,54.27,23.894,1.0
2023-03-15,54.13,22.629,1.0
2023-03-16,56.57,30.038,1.0
2023-03-17,56.66,30.612,1.0
2023-03-20,57.64,33.896,1.0
2023-03-21,58.63,36.624,1.0
2023-03-22,58.17,33.355,1.0
2023-03-23,61.34,42.835,1.0
2023-03-24,61.16,41.271,1.0
2023-03-27,59.79,46.721,1.0
2023-03-28,59.28,53.287,1.0
2023-03-29,63.54,63.63,1.0
2023-03-30,63.09,63.1,1.0
2023-03-31,60.34,62.266,1.0
2023-04-03,59.61,62.17,1.0
2023-04-04,57.27,56.487,1.0
2023-04-05,57.02,56.82,1.0
2023-04-06,58.56,60.838,1.0
2023-04-10,63.27,75.825,1.0
2023-04-11,63.57,76.883,1.0
2023-04-12,61.96,76.12,1.0
2023-04-13,63.0,77.773,1.0
2023-04-14,62.63,76.57,1.0
2023-04-17,62.54,76.757,1.0
2023-04-18,61.93,74.99,1.0
2023-04-19,60.65,70.827,1.0
2023-04-20,61.46,72.561,1.0
2023-04-21,61.13,69.116,1.0
2023-04-24,59.51,65.377,1.0
2023-04-25,58.14,61.752,1.0
2023-04-26,61.02,72.199,1.0
2023-04-27,61.9,71.239,1.0
2023-04-28,64.36,75.286,1.0
2023-05-01,62.35,70.242,1.0
2023-05-02,61.9,68.492,1.0
2023-05-03,60.91,66.482,1.0
2023-05-04,60.51,63.424,1.0
2023-05-05,61.23,64.907,1.0
2023-05-08,60.87,55.352,1.0
2023-05-09,60.93,54.718,1.0
2023-05-10,59.99,50.531,1.0
2023-05-11,61.61,52.832,1.0
2023-05-12,60.92,51.059,1.0
2023-05-15,64.64,64.474,1.0
2023-05-16,63.73,63.525,1.0
2023-05-17,64.92,65.062,1.0
2023-05-18,67.57,71.354,1.0
2023-05-19,68.17,70.773,1.0
2023-05-22,66.23,71.341,1.0
2023-05-23,66.01,70.054,1.0
2023-05-24,66.53,67.392,1.0
2023-05-25,69.61,71.389,1.0
2023-05-26,73.93,77.951,1.0
2023-05-30,71.69,76.791,1.0
2023-05-31,68.2,77.514,1.0
2023-06-01,69.09,77.87,1.0
2023-06-02,69.17,77.173,1.0
2023-06-05,67.77,76.682,1.0
2023-06-06,67.54,76.049,1.0
2023-06-07,67.06,75.42,1.0
2023-06-08,65.32,73.381,1.0
2023-06-09,65.43,72.902,1.0
2023-06-12,67.45,75.142,1.0
2023-06-13,67.87,71.861,1.0
2023-06-14,69.12,74.138,1.0
2023-06-15,68.82,72.687,1.0
2023-06-16,67.66,68.886,1.0
2023-06-20,66.9,66.199,1.0
2023-06-21,65.8,61.865,1.0
2023-06-22,66.25,63.058,1.0
2023-06-23,65.28,60.648,1.0
2023-06-26,65.45,55.439,1.0
2023-06-27,66.79,55.151,1.0
2023-06-28,67.07,54.994,1.0
2023-06-29,64.33,50.742,1.0
2023-06-30,63.11,48.843,1.0
2023-07-03,63.9,51.993,1.0
2023-07-05,62.06,48.428,1.0
2023-07-06,61.23,43.356,1.0
2023-07-07,60.65,42.119,1.0
2023-07-10,62.48,45.952,1.0
2023-07-11,63.6,49.264,1.0
2023-07-12,63.79,49.882,1.0
2023-07-13,64.53,51.158,1.0
2023-07-14,64.08,50.924,1.0
2023-07-17,65.16,55.03,1.0
2023-07-18,64.94,51.453,1.0
2023-07-19,64.96,51.232,1.0
2023-07-20,64.69,51.147,1.0
2023-07-21,65.65,55.752,1.0
2023-07-24,65.48,53.555,1.0
2023-07-25,65.68,53.228,1.0
2023-07-26,67.38,55.084,1.0
2023-07-27,71.07,69.082,1.0
2023-07-28,71.2,64.56,1.0
2023-07-31,71.39,63.415,1.0
2023-08-01,70.76,61.691,1.0
2023-08-02,68.17,56.744,1.0
2023-08-03,69.18,57.739,1.0
2023-08-04,69.91,57.796,1.0
2023-08-07,69.38,56.156,1.0
