date,close,score,pos
2023-01-02,55500.0,,1.0
2023-01-03,55400.0,,1.0
2023-01-04,57800.0,,1.0
2023-01-05,58200.0,,1.0
2023-01-06,59000.0,,1.0
2023-01-09,60700.0,,1.0
2023-01-10,60400.0,,1.0
2023-01-11,60500.0,,1.0
2023-01-12,60500.0,,1.0
2023-01-13,60800.0,,1.0
2023-01-16,61100.0,,1.0
2023-01-17,61000.0,,1.0
2023-01-18,60400.0,,1.0
2023-01-19,61500.0,,1.0
2023-01-20,61800.0,,1.0
2023-01-25,63400.0,,1.0
2023-01-26,63900.0,,1.0
2023-01-27,64600.0,,1.0
2023-01-30,63300.0,,1.0
2023-01-31,61000.0,,1.0
2023-02-01,61800.0,,1.0
2023-02-02,63500.0,,1.0
2023-02-03,63800.0,65.161,1.0
2023-02-06,61600.0,70.468,1.0
2023-02-07,61900.0,70.083,1.0
2023-02-08,63100.0,66.931,1.0
2023-02-09,63000.0,66.242,1.0
2023-02-10,62800.0,64.135,1.0
2023-02-13,62900.0,63.035,1.0
2023-02-14,63200.0,65.549,1.0
2023-02-15,62200.0,66.964,1.0
2023-02-16,63700.0,69.523,1.0
2023-02-17,62600.0,70.025,1.0
2023-02-20,62700.0,68.826,1.0
2023-02-21,62100.0,67.717,1.0
2023-02-22,61100.0,64.715,1.0
2023-02-23,62000.0,67.138,1.0
2023-02-24,61300.0,65.649,1.0
2023-02-27,60500.0,63.091,1.0
2023-02-28,60600.0,52.31,1.0
2023-03-02,60800.0,53.055,1.0
2023-03-03,60500.0,45.846,1.0
2023-03-06,61500.0,46.051,1.0
2023-03-07,60700.0,37.877,1.0
2023-03-08,60300.0,34.497,1.0
2023-03-09,60100.0,30.784,1.0
2023-03-10,59500.0,33.726,1.0
2023-03-13,60000.0,37.721,1.0
2023-03-14,59000.0,38.504,1.0
2023-03-15,59800.0,40.098,1.0
2023-03-16,59900.0,37.708,1.0
2023-03-17,61300.0,40.095,1.0
2023-03-20,60200.0,43.179,1.0
2023-03-21,60300.0,42.207,1.0
2023-03-22,61100.0,45.362,1.0
2023-03-23,62300.0,53.237,1.0
2023-03-24,63000.0,53.573,1.0
2023-03-27,62100.0,50.713,1.0
2023-03-28,62900.0,50.344,1.0
2023-03-29,62700.0,49.475,1.0
2023-03-30,63200.0,50.914,1.0
2023-03-31,64000.0,51.683,1.0
2023-04-03,63100.0,47.764,1.0
2023-04-04,63600.0,53.697,1.0
2023-04-05,63900.0,53.023,1.0
2023-04-06,62300.0,48.341,1.0
2023-04-07,65000.0,63.151,1.0
2023-04-10,65700.0,65.35,1.0
2023-04-11,65900.0,64.763,1.0
2023-04-12,66000.0,65.57,1.0
2023-04-13,66100.0,66.224,1.0
2023-04-14,65100.0,64.0,1.0
2023-04-17,65300.0,64.557,1.0
2023-04-18,65600.0,64.766,1.0
2023-04-19,65500.0,63.893,1.0
2023-04-20,65300.0,60.536,1.0
2023-04-21,65700.0,59.562,1.0
2023-04-24,65200.0,56.752,1.0
2023-04-25,63600.0,56.077,1.0
2023-04-26,64100.0,60.994,1.0
2023-04-27,64600.0,62.22,1.0
2023-04-28,65500.0,64.195,1.0
2023-05-02,65700.0,63.317,1.0
2023-05-03,65400.0,64.154,1.0
2023-05-04,65100.0,63.731,1.0
2023-05-08,65900.0,62.054,1.0
2023-05-09,65300.0,52.207,1.0
2023-05-10,64600.0,47.613,1.0
2023-05-11,64200.0,44.5,1.0
2023-05-12,64100.0,42.91,1.0
2023-05-15,64500.0,45.446,1.0
2023-05-16,65400.0,45.455,1.0
2023-05-17,65000.0,45.476,1.0
2023-05-18,66200.0,50.255,1.0
2023-05-19,68400.0,60.64,1.0
2023-05-22,68500.0,61.205,1.0
2023-05-23,68400.0,60.857,1.0
2023-05-24,68500.0,59.448,1.0
2023-05-25,68800.0,56.394,1.0
2023-05-26,70300.0,60.696,1.0
2023-05-30,72300.0,66.072,1.0
2023-05-31,71400.0,68.74,1.0
2023-06-01,70900.0,68.317,1.0
2023-06-02,72200.0,69.841,1.0
2023-06-05,71700.0,70.277,1.0
2023-06-07,71000.0,70.224,1.0
2023-06-08,70900.0,70.322,1.0
2023-06-09,72000.0,70.694,1.0
2023-06-12,71000.0,69.714,1.0
2023-06-13,72000.0,70.728,1.0
2023-06-14,71900.0,71.809,1.0
2023-06-15,71500.0,71.102,1.0
2023-06-16,71800.0,71.739,1.0
2023-06-19,71200.0,69.489,1.0
2023-06-20,71400.0,63.621,1.0
2023-06-21,70500.0,62.342,1.0
2023-06-22,71300.0,64.619,1.0
2023-06-23,71600.0,66.66,1.0
2023-06-26,72400.0,68.574,1.0
2023-06-27,72600.0,65.344,1.0
2023-06-28,72700.0,61.009,1.0
2023-06-29,72400.0,58.342,1.0
2023-06-30,72200.0,56.404,1.0
2023-07-03,73000.0,57.892,1.0
2023-07-04,73000.0,57.085,1.0
2023-07-05,72000.0,54.625,1.0
2023-07-06,71600.0,51.864,1.0
2023-07-07,69900.0,47.56,1.0
2023-07-10,69500.0,44.722,1.0
2023-07-11,71500.0,52.669,1.0
2023-07-12,71900.0,53.986,1.0
2023-07-13,71900.0,53.673,1.0
2023-07-14,73400.0,57.986,1.0
2023-07-17,73300.0,57.143,1.0
2023-07-18,72000.0,55.365,1.0
2023-07-19,71700.0,54.287,1.0
2023-07-20,71000.0,50.986,1.0
2023-07-21,70300.0,49.828,1.0
2023-07-24,70400.0,50.485,1.0
2023-07-25,70000.0,49.414,1.0
2023-07-26,69800.0,49.49,1.0
2023-07-27,71700.0,65.841,1.0
2023-07-28,70600.0,62.768,1.0
2023-07-31,69800.0,60.854,1.0
2023-08-01,71100.0,67.091,1.0
2023-08-02,69900.0,62.327,1.0
2023-08-03,68800.0,59.346,1.0
2023-08-04,68300.0,55.419,1.0
2023-08-07,68500.0,56.68,1.0
2023-08-08,67600.0,51.456,1.0
2023-08-09,68900.0,58.696,1.0
2023-08-10,68000.0,54.782,1.0
2023-08-11,67500.0,49.78,1.0
2023-08-14,67300.0,47.2,1.0
2023-08-16,67000.0,44.395,1.0
2023-08-17,66700.0,43.247,1.0
2023-08-18,66300.0,42.132,1.0
2023-08-21,66600.0,42.415,1.0
2023-08-22,66600.0,42.147,1.0
2023-08-23,67100.0,43.695,1.0
2023-08-24,68200.0,46.012,1.0
2023-08-25,67100.0,31.207,1.0
2023-08-28,66800.0,27.64,1.0
2023-08-29,66800.0,26.466,1.0
2023-08-30,67100.0,27.812,1.0
2023-08-31,66900.0,27.129,1.0
2023-09-01,71000.0,52.916,1.0
2023-09-04,71200.0,56.641,1.0
2023-09-05,70700.0,56.653,1.0
2023-09-06,70000.0,53.273,1.0
2023-09-07,70400.0,52.362,1.0
2023-09-08,70300.0,52.426,1.0
2023-09-11,70800.0,55.112,1.0
2023-09-12,70500.0,56.21,1.0
2023-09-13,70900.0,58.626,1.0
2023-09-14,71700.0,63.871,1.0
2023-09-15,72000.0,64.797,1.0
2023-09-18,70200.0,61.37,1.0
2023-09-19,69800.0,59.644,1.0
2023-09-20,69600.0,58.616,1.0
2023-09-21,68900.0,56.164,1.0
2023-09-22,68800.0,56.134,1.0
2023-09-25,69400.0,58.988,1.0
2023-09-26,68600.0,56.595,1.0
2023-09-27,68400.0,56.53,1.0
2023-10-04,67500.0,54.413,1.0
2023-10-05,66700.0,39.336,1.0
2023-10-06,66000.0,37.045,1.0
2023-10-10,66400.0,38.996,1.0
2023-10-11,68200.0,47.207,1.0
2023-10-12,68900.0,49.891,1.0
2023-10-13,68000.0,47.306,1.0
2023-10-16,67300.0,43.86,1.0
2023-10-17,69400.0,56.609,1.0
2023-10-18,70500.0,60.871,1.0
2023-10-19,69500.0,58.397,1.0
2023-10-20,68800.0,56.142,1.0
2023-10-23,68400.0,53.383,1.0
2023-10-24,68500.0,54.539,1.0
2023-10-25,68000.0,53.145,1.0
2023-10-26,66700.0,53.135,1.0
2023-10-27,67300.0,54.188,1.0
2023-10-30,67300.0,54.248,1.0
2023-10-31,66900.0,53.114,1.0
2023-11-01,68600.0,61.613,1.0
2023-11-02,69700.0,65.718,1.0
2023-11-03,69600.0,65.215,1.0
2023-11-06,70900.0,69.887,1.0
2023-11-07,70900.0,69.276,1.0
2023-11-08,69900.0,64.068,1.0
2023-11-09,70300.0,63.444,1.0
2023-11-10,70500.0,64.691,1.0
2023-11-13,70400.0,63.901,1.0
2023-11-14,70800.0,60.661,1.0
2023-11-15,72200.0,66.24,1.0
2023-11-16,72800.0,66.852,1.0
2023-11-17,72500.0,65.67,1.0
2023-11-20,72700.0,65.419,1.0
2023-11-21,72800.0,65.43,1.0
2023-11-22,72800.0,64.644,1.0
2023-11-23,72400.0,59.454,1.0
2023-11-24,71700.0,55.825,1.0
2023-11-27,71300.0,54.707,1.0
2023-11-28,72700.0,59.148,1.0
2023-11-29,72700.0,56.703,1.0
2023-11-30,72800.0,53.306,1.0
2023-12-01,72000.0,47.141,1.0
2023-12-04,72600.0,46.216,1.0
2023-12-05,71200.0,45.516,1.0
2023-12-06,71700.0,45.931,1.0
2023-12-07,71500.0,44.459,1.0
2023-12-08,72600.0,49.714,1.0
2023-12-11,73000.0,50.288,1.0
2023-12-12,73500.0,53.5,1.0
2023-12-13,72800.0,47.294,1.0
2023-12-14,73100.0,49.012,1.0
2023-12-15,73300.0,49.138,1.0
2023-12-18,72900.0,49.935,1.0
2023-12-19,73400.0,50.959,1.0
2023-12-20,74800.0,56.378,1.0
2023-12-21,75000.0,58.433,1.0
2023-12-22,75900.0,62.054,1.0
2023-12-26,76600.0,63.774,1.0
2023-12-27,78000.0,66.806,1.0
2023-12-28,78500.0,68.601,1.0
2024-01-02,79600.0,69.792,1.0
2024-01-03,77000.0,72.51,1.0
2024-01-04,76600.0,72.171,1.0
2024-01-05,76600.0,67.834,1.0
2024-01-08,76500.0,67.143,1.0
2024-01-09,74700.0,66.262,1.0
2024-01-10,73600.0,63.086,1.0
2024-01-11,73200.0,62.288,1.0
2024-01-12,73100.0,58.954,1.0
2024-01-15,73900.0,60.744,1.0
2024-01-16,72600.0,57.516,1.0
2024-01-17,71000.0,54.196,1.0
2024-01-18,71700.0,58.313,1.0
2024-01-19,74700.0,73.384,1.0
2024-01-22,75100.0,74.347,1.0
2024-01-23,75200.0,74.782,1.0
2024-01-24,74000.0,71.347,1.0
2024-01-25,74100.0,70.745,1.0
2024-01-26,73400.0,67.792,1.0
2024-01-29,74400.0,69.75,1.0
2024-01-30,74300.0,66.901,1.0
2024-01-31,72700.0,61.046,1.0
2024-02-01,73600.0,62.141,1.0
2024-02-02,75200.0,69.594,1.0
2024-02-05,74300.0,67.637,1.0
2024-02-06,74400.0,65.442,1.0
2024-02-07,75000.0,66.789,1.0
2024-02-08,74100.0,62.263,1.0
2024-02-13,75200.0,66.34,1.0
2024-02-14,74000.0,60.523,1.0
2024-02-15,73000.0,57.038,1.0
2024-02-16,72800.0,54.722,1.0
2024-02-19,73800.0,57.05,1.0
2024-02-20,73300.0,47.187,1.0
