date,close,score,pos
2025-02-24,48.6,,1.0
2025-02-25,48.16,,1.0
2025-02-26,46.58,,1.0
2025-02-27,45.16,,1.0
2025-02-28,46.85,,1.0
2025-03-03,50.31,,1.0
2025-03-04,48.69,,1.0
2025-03-05,48.47,,1.0
2025-03-06,46.5,,1.0
2025-03-07,51.0,,1.0
2025-03-10,53.0,,1.0
2025-03-11,52.16,,1.0
2025-03-12,50.44,,1.0
2025-03-13,48.44,,1.0
2025-03-14,54.82,,1.0
2025-03-17,55.65,,1.0
2025-03-18,56.42,,1.0
2025-03-19,56.33,,1.0
2025-03-20,56.21,,1.0
2025-03-21,53.96,,1.0
2025-03-24,52.99,,1.0
2025-03-25,52.2,,1.0
2025-03-26,52.62,,1.0
2025-03-27,52.88,,1.0
2025-03-28,48.97,,1.0
2025-03-31,47.61,,1.0
2025-04-01,48.11,,1.0
2025-04-02,47.67,,1.0
2025-04-03,38.26,,1.0
2025-04-04,30.11,,1.0
2025-04-07,31.48,,1.0
2025-04-08,32.35,,1.0
2025-04-09,36.58,,1.0
2025-04-10,31.075,,1.0
2025-04-11,31.97,,1.0
2025-04-14,33.55,,1.0
2025-04-15,33.23,,1.0
2025-04-16,32.03,,1.0
2025-04-17,31.29,,1.0
2025-04-21,29.81,,1.0
2025-04-22,29.62,,1.0
2025-04-23,30.36,,1.0
2025-04-24,32.29,,1.0
2025-04-25,32.85,,1.0
2025-04-28,32.27,,1.0
2025-04-29,32.94,,1.0
2025-04-30,32.11,,1.0
2025-05-01,32.59,,1.0
2025-05-02,34.4,,1.0
2025-05-05,34.61,,1.0
2025-05-06,33.83,,1.0
2025-05-07,34.97,,1.0
2025-05-08,36.66,,1.0
2025-05-09,37.74,,1.0
2025-05-12,41.27,,1.0
2025-05-13,42.0,,1.0
2025-05-14,41.93,,1.0
2025-05-15,40.54,,1.0
2025-05-16,40.44,,1.0
2025-05-19,38.78,,1.0
2025-05-20,40.18,,1.0
2025-05-21,38.6,,1.0
2025-05-22,37.84,,1.0
2025-05-23,37.28,,1.0
2025-05-27,38.18,,1.0
2025-05-28,38.58,,1.0
2025-05-29,38.6,,1.0
2025-05-30,37.69,,1.0
2025-06-02,37.33,,1.0
2025-06-03,38.64,,1.0
2025-06-04,39.82,,1.0
2025-06-05,39.12,,1.0
2025-06-06,39.15,,1.0
2025-06-09,41.82,,1.0
2025-06-10,41.59,,1.0
2025-06-11,40.23,,1.0
2025-06-12,41.3,,1.0
2025-06-13,42.5,,1.0
2025-06-16,44.21,,1.0
2025-06-17,44.09,,1.0
2025-06-18,46.62,,1.0
2025-06-20,46.58,,1.0
2025-06-23,46.95,,1.0
2025-06-24,47.34,,1.0
2025-06-25,47.25,,1.0
2025-06-26,47.44,,1.0
2025-06-27,47.15,,1.0
2025-06-30,45.35,,1.0
2025-07-01,44.96,,1.0
2025-07-02,46.21,,1.0
2025-07-03,46.41,,1.0
2025-07-07,45.22,,1.0
2025-07-08,46.17,,1.0
2025-07-09,46.2,,1.0
2025-07-10,46.95,,1.0
2025-07-11,46.09,,1.0
2025-07-14,42.48,,1.0
2025-07-15,42.72,,1.0
2025-07-16,41.36,,1.0
2025-07-17,41.52,,1.0
2025-07-18,42.19,,1.0
2025-07-21,41.61,,1.0
2025-07-22,41.36,,1.0
2025-07-23,43.0,,1.0
2025-07-24,42.06,,1.0
2025-07-25,42.48,,1.0
2025-07-28,41.89,,1.0
2025-07-29,42.93,,1.0
2025-07-30,43.39,,1.0
2025-07-31,42.92,,1.0
2025-08-01,41.33,,1.0
2025-08-04,42.51,,1.0
2025-08-05,41.93,,1.0
2025-08-06,42.1,,1.0
2025-08-07,40.69,,1.0
2025-08-08,44.34,,1.0
2025-08-11,43.37,,1.0
2025-08-12,46.83,,1.0
2025-08-13,47.01,,1.0
2025-08-14,46.68,,1.0
2025-08-15,44.54,,1.0
2025-08-18,45.52,,1.0
2025-08-19,44.58,,1.0
2025-08-20,44.4,,1.0
2025-08-21,45.5,,1.0
2025-08-22,46.37,,1.0
2025-08-25,46.78,,1.0
2025-08-26,47.35,,1.0
2025-08-27,48.44,,1.0
2025-08-28,50.87,,1.0
2025-08-29,52.47,,1.0
2025-09-02,51.07,,1.0
2025-09-03,53.01,,1.0
2025-09-04,62.51,,1.0
2025-09-05,68.55,,1.0
2025-09-08,70.495,,1.0
2025-09-09,70.51,,1.0
2025-09-10,73.92,,1.0
2025-09-11,84.3,69.351,1.0
2025-09-12,86.13,72.591,1.0
2025-09-15,90.09,69.523,1.0
2025-09-16,91.55,69.69,1.0
2025-09-17,93.97,67.399,1.0
2025-09-18,98.87,67.351,1.0
2025-09-19,102.21,65.929,1.0
2025-09-22,102.92,65.707,1.0
2025-09-23,106.4,65.225,1.0
2025-09-24,99.83,67.836,1.0
2025-09-25,94.29,67.908,1.0
2025-09-26,97.12,69.165,1.0
2025-09-29,113.5,72.046,1.0
2025-09-30,112.2,71.508,1.0
2025-10-01,121.12,73.738,1.0
2025-10-02,124.14,71.645,1.0
2025-10-03,128.41,71.508,1.0
2025-10-06,121.17,70.561,1.0
2025-10-07,120.95,70.828,1.0
2025-10-08,131.88,72.054,1.0
2025-10-09,129.68,69.959,1.0
2025-10-10,116.91,66.542,1.0
2025-10-13,134.61,68.221,1.0
2025-10-14,127.29,68.616,1.0
2025-10-15,144.3,70.949,1.0
2025-10-16,144.27,70.909,1.0
2025-10-17,140.16,71.084,1.0
2025-10-20,148.04,71.471,1.0
2025-10-21,149.29,71.768,1.0
2025-10-22,146.95,70.114,1.0
2025-10-23,167.05,76.061,1.0
2025-10-24,186.16,80.725,1.0
2025-10-27,176.49,74.829,1.0
2025-10-28,175.53,72.993,1.0
2025-10-29,204.36,80.604,1.0
2025-10-30,195.82,76.54,1.0
2025-10-31,199.33,74.412,1.0
2025-11-03,207.01,75.802,1.0
2025-11-04,194.57,72.864,1.0
2025-11-05,216.5,76.042,1.0
2025-11-06,207.69,77.122,1.0
2025-11-07,239.48,85.574,1.0
2025-11-10,267.95,87.352,1.0
2025-11-11,271.58,86.008,1.0
2025-11-12,283.1,85.388,1.0
2025-11-13,243.57,80.642,1.0
2025-11-14,254.16,80.487,1.0
2025-11-17,265.88,81.48,1.0
2025-11-18,244.93,78.974,1.0
2025-11-19,245.96,78.457,1.0
2025-11-20,195.96,75.021,1.0
2025-11-21,200.27,74.833,0.5
2025-11-24,226.96,76.946,0.5
2025-11-25,220.5,76.816,0.5
2025-11-26,215.04,75.292,0.5
2025-11-28,223.28,75.063,0.5
2025-12-01,210.17,72.418,0.5
2025-12-02,205.35,70.196,0.5
2025-12-03,194.38,66.896,0.5
2025-12-04,213.31,69.832,0.5
2025-12-05,228.47,71.681,0.5
2025-12-08,225.47,68.289,0.5
2025-12-09,219.46,65.096,0.5
2025-12-10,232.86,67.225,0.5
2025-12-11,241.61,68.135,1.0
2025-12-12,206.18,60.068,1.0
2025-12-15,201.87,58.31,1.0
2025-12-16,209.31,59.167,1.0
