date,close,score,pos
2023-01-03,31.41,,1.0
2023-01-04,33.05,,1.0
2023-01-05,35.23,,1.0
2023-01-06,37.17,,1.0
2023-01-09,37.59,,1.0
2023-01-10,38.17,,1.0
2023-01-11,38.42,,1.0
2023-01-12,37.96,,1.0
2023-01-13,37.22,,1.0
2023-01-17,37.32,,1.0
2023-01-18,37.47,,1.0
2023-01-19,37.55,,1.0
2023-01-20,38.46,,1.0
2023-01-23,41.79,,1.0
2023-01-24,41.1,,1.0
2023-01-25,41.31,,1.0
2023-01-26,43.76,,1.0
2023-01-27,44.97,70.737,1.0
2023-01-30,44.24,67.802,1.0
2023-01-31,43.95,68.475,1.0
2023-02-01,43.32,66.903,1.0
2023-02-02,44.58,66.954,1.0
2023-02-03,43.25,63.38,1.0
2023-02-06,42.25,60.304,1.0
2023-02-07,43.08,61.402,1.0
2023-02-08,42.74,58.978,1.0
2023-02-09,41.99,60.071,1.0
2023-02-10,43.01,60.858,1.0
2023-02-13,43.04,58.762,1.0
2023-02-14,43.64,59.077,1.0
2023-02-15,43.67,59.482,1.0
2023-02-16,42.57,59.937,1.0
2023-02-17,41.58,60.82,1.0
2023-02-21,40.05,44.975,1.0
2023-02-22,39.57,43.574,1.0
2023-02-23,39.79,44.609,1.0
2023-02-24,39.11,38.853,1.0
2023-02-27,38.51,35.152,1.0
2023-02-28,38.48,31.038,1.0
2023-03-01,38.12,29.043,1.0
2023-03-02,38.38,27.522,1.0
2023-03-03,38.59,26.318,1.0
2023-03-06,37.78,23.525,1.0
2023-03-07,37.31,22.979,1.0
2023-03-08,37.9,20.665,1.0
2023-03-09,37.06,18.927,1.0
2023-03-10,36.06,20.096,1.0
2023-03-13,35.32,20.933,1.0
2023-03-14,35.29,19.816,1.0
2023-03-15,34.39,16.995,1.0
2023-03-16,35.34,19.315,1.0
2023-03-17,35.08,19.331,1.0
2023-03-20,35.2,20.654,1.0
2023-03-21,35.47,21.765,1.0
2023-03-22,34.7,17.969,1.0
2023-03-23,35.27,20.555,1.0
2023-03-24,35.26,19.741,1.0
2023-03-27,35.21,22.222,1.0
2023-03-28,34.61,28.525,1.0
2023-03-29,36.6,36.748,1.0
2023-03-30,37.28,38.971,1.0
2023-03-31,37.67,39.093,1.0
2023-04-03,37.2,34.829,1.0
2023-04-04,35.94,30.669,1.0
2023-04-05,35.06,29.108,1.0
2023-04-06,35.15,30.003,1.0
2023-04-10,38.04,45.672,1.0
2023-04-11,38.37,44.532,1.0
2023-04-12,38.0,44.795,1.0
2023-04-13,36.88,43.143,1.0
2023-04-14,35.46,40.97,1.0
2023-04-17,36.02,43.323,1.0
2023-04-18,35.72,40.474,1.0
2023-04-19,34.62,37.47,1.0
2023-04-20,33.32,35.894,1.0
2023-04-21,33.44,37.336,1.0
2023-04-24,32.9,35.574,1.0
2023-04-25,32.09,32.885,1.0
2023-04-26,32.68,36.952,1.0
2023-04-27,32.76,33.405,1.0
2023-04-28,34.44,44.644,1.0
2023-05-01,34.06,43.603,1.0
2023-05-02,33.47,43.246,1.0
2023-05-03,33.05,40.823,1.0
2023-05-04,33.04,38.158,1.0
2023-05-05,33.45,39.328,1.0
2023-05-08,34.18,34.598,1.0
2023-05-09,33.6,33.115,1.0
2023-05-10,32.88,30.617,1.0
2023-05-11,32.55,26.48,1.0
2023-05-12,33.03,26.626,1.0
2023-05-15,36.75,52.727,1.0
2023-05-16,36.61,53.047,1.0
2023-05-17,36.98,53.918,1.0
2023-05-18,38.74,60.372,1.0
2023-05-19,38.32,58.686,1.0
2023-05-22,38.37,58.847,1.0
2023-05-23,37.8,57.879,1.0
2023-05-24,37.23,56.623,1.0
2023-05-25,37.85,57.78,1.0
2023-05-26,39.71,62.737,1.0
2023-05-30,39.95,63.082,1.0
2023-05-31,38.73,65.14,1.0
2023-06-01,38.97,66.08,1.0
2023-06-02,40.24,68.795,1.0
2023-06-05,39.0,67.608,1.0
2023-06-06,39.48,68.453,1.0
2023-06-07,40.02,69.048,1.0
2023-06-08,40.1,69.078,1.0
2023-06-09,39.78,67.499,1.0
2023-06-12,40.31,68.096,1.0
2023-06-13,40.58,56.131,1.0
2023-06-14,40.46,55.53,1.0
2023-06-15,41.08,56.611,1.0
2023-06-16,40.47,54.7,1.0
2023-06-20,39.12,51.894,1.0
2023-06-21,38.42,50.777,1.0
2023-06-22,38.35,50.34,1.0
2023-06-23,37.86,50.812,1.0
2023-06-26,37.56,48.464,1.0
2023-06-27,38.21,48.35,1.0
2023-06-28,37.85,43.858,1.0
2023-06-29,37.6,40.913,1.0
2023-06-30,37.93,41.685,1.0
2023-07-03,38.51,42.851,1.0
2023-07-05,37.66,40.086,1.0
2023-07-06,37.36,36.976,1.0
2023-07-07,37.67,36.948,1.0
2023-07-10,37.87,38.229,1.0
2023-07-11,38.36,42.084,1.0
2023-07-12,38.42,42.972,1.0
2023-07-13,39.36,43.04,1.0
2023-07-14,39.66,48.45,1.0
2023-07-17,39.14,47.719,1.0
2023-07-18,38.46,44.89,1.0
2023-07-19,38.93,44.931,1.0
2023-07-20,38.28,43.623,1.0
2023-07-21,38.3,44.274,1.0
2023-07-24,38.92,45.09,1.0
2023-07-25,38.64,44.759,1.0
2023-07-26,38.88,40.575,1.0
2023-07-27,41.68,57.349,1.0
2023-07-28,42.03,59.031,1.0
2023-07-31,42.56,61.906,1.0
2023-08-01,42.87,64.402,1.0
2023-08-02,42.42,63.729,1.0
2023-08-03,43.26,65.871,1.0
2023-08-04,43.45,66.542,1.0
2023-08-07,43.5,65.001,1.0
2023-08-08,43.16,65.017,1.0
2023-08-09,42.58,63.714,1.0
2023-08-10,42.15,61.501,1.0
2023-08-11,41.88,57.218,1.0
2023-08-14,42.6,57.482,1.0
2023-08-15,41.05,52.441,1.0
2023-08-16,40.42,50.238,1.0
2023-08-17,40.29,48.696,1.0
2023-08-18,39.74,47.016,1.0
2023-08-21,40.4,48.782,1.0
2023-08-22,40.42,47.711,1.0
2023-08-23,41.05,48.275,1.0
2023-08-24,39.87,36.967,1.0
2023-08-25,39.49,32.165,1.0
2023-08-28,41.41,38.554,1.0
2023-08-29,41.55,35.916,1.0
2023-08-30,42.52,39.649,1.0
2023-08-31,45.0,49.298,1.0
2023-09-01,45.96,50.934,1.0
2023-09-05,45.79,51.751,1.0
2023-09-06,45.44,50.916,1.0
2023-09-07,43.43,46.256,1.0
2023-09-08,43.47,46.0,1.0
2023-09-11,42.9,44.984,1.0
2023-09-12,42.3,43.977,1.0
2023-09-13,43.22,46.844,1.0
2023-09-14,43.69,49.449,1.0
2023-09-15,43.6,51.367,1.0
2023-09-18,43.65,51.572,1.0
2023-09-19,43.92,53.757,1.0
2023-09-20,45.65,62.632,1.0
2023-09-21,44.44,61.287,1.0
2023-09-22,45.14,63.864,1.0
2023-09-25,44.62,62.809,1.0
2023-09-26,44.27,60.407,1.0
2023-09-27,44.56,60.367,1.0
2023-09-28,45.8,62.736,1.0
2023-09-29,45.63,56.892,1.0
2023-10-02,45.47,55.462,1.0
2023-10-03,44.82,51.986,1.0
2023-10-04,45.29,51.903,1.0
2023-10-05,46.11,53.139,1.0
2023-10-06,46.4,52.363,1.0
2023-10-09,45.4,48.782,1.0
2023-10-10,45.35,47.804,1.0
2023-10-11,46.39,51.865,1.0
2023-10-12,45.62,50.262,1.0
2023-10-13,45.7,50.304,1.0
2023-10-16,45.75,50.629,1.0
2023-10-17,44.14,47.547,1.0
2023-10-18,44.45,44.671,1.0
2023-10-19,43.06,40.92,1.0
2023-10-20,42.86,36.783,1.0
2023-10-23,41.81,35.995,1.0
2023-10-24,42.96,39.864,1.0
2023-10-25,42.18,38.712,1.0
2023-10-26,38.26,42.105,1.0
2023-10-27,38.97,45.566,1.0
2023-10-30,41.8,60.917,1.0
2023-10-31,40.15,59.49,1.0
2023-11-01,41.74,65.224,1.0
2023-11-02,42.16,66.891,1.0
2023-11-03,43.01,69.049,1.0
2023-11-06,43.17,69.138,1.0
2023-11-07,43.09,68.46,1.0
2023-11-08,43.255,69.518,1.0
2023-11-09,44.18,73.106,1.0
2023-11-10,45.0,76.036,1.0
2023-11-13,45.18,76.833,1.0
2023-11-14,45.87,77.973,1.0
2023-11-15,46.03,78.419,1.0
2023-11-16,46.01,76.698,1.0
2023-11-17,46.62,79.649,1.0
2023-11-20,47.35,81.178,1.0
2023-11-21,46.24,75.5,1.0
2023-11-22,46.91,77.108,1.0
2023-11-24,46.6,64.092,1.0
2023-11-27,47.21,63.778,1.0
2023-11-28,46.89,59.766,1.0
2023-11-29,47.32,58.927,1.0
2023-11-30,48.31,58.306,1.0
2023-12-01,48.39,60.554,1.0
2023-12-04,47.47,57.788,1.0
2023-12-05,46.77,57.602,1.0
2023-12-06,46.82,57.836,1.0
2023-12-07,47.31,59.296,1.0
2023-12-08,47.86,61.475,1.0
2023-12-11,49.24,65.598,1.0
2023-12-12,49.62,66.71,1.0
2023-12-13,50.43,67.874,1.0
2023-12-14,51.15,68.055,1.0
2023-12-15,50.68,67.622,1.0
2023-12-18,50.52,66.685,1.0
2023-12-19,50.94,67.693,1.0
2023-12-20,49.41,62.249,1.0
2023-12-21,52.38,70.723,1.0
2023-12-22,52.66,69.013,1.0
2023-12-26,52.76,69.025,1.0
2023-12-27,52.42,68.398,1.0
2023-12-28,52.93,69.77,1.0
2023-12-29,52.37,67.219,1.0
2024-01-02,50.86,61.954,1.0
2024-01-03,50.34,61.441,1.0
2024-01-04,50.02,61.224,1.0
2024-01-05,50.05,60.2,1.0
2024-01-08,50.19,58.82,1.0
2024-01-09,49.43,56.558,1.0
2024-01-10,50.51,58.267,1.0
2024-01-11,50.6,57.546,1.0
2024-01-12,50.005,55.279,1.0
2024-01-16,52.23,63.158,1.0
2024-01-17,52.32,63.67,1.0
2024-01-18,53.55,67.232,1.0
2024-01-19,54.77,70.467,1.0
2024-01-22,57.0,74.368,1.0
2024-01-23,57.73,72.67,1.0
2024-01-24,58.03,73.402,1.0
2024-01-25,60.33,76.443,1.0
