date,tci,level,breadth_pct,persistence,n_avail,theme_nav
2023-02-03,24.184,53.742,0.0,0.0,4,0.775
2023-02-06,23.774,52.83,0.0,0.0,4,0.75
2023-02-07,24.111,53.58,0.0,0.0,4,0.765
2023-02-08,23.537,52.305,0.0,0.0,4,0.77
2023-02-09,23.597,52.437,0.0,0.0,4,0.765
2023-02-10,23.267,51.704,0.0,0.0,4,0.766
2023-02-13,23.309,51.798,0.0,0.0,4,0.761
2023-02-14,24.38,54.177,0.0,0.0,4,0.777
2023-02-15,24.972,55.493,0.0,0.0,4,0.77
2023-02-16,25.407,56.46,0.0,0.0,4,0.767
2023-02-17,25.327,56.283,0.0,0.0,4,0.754
2023-02-20,25.237,56.082,0.0,0.0,4,0.756
2023-02-21,21.914,48.697,0.0,0.0,4,0.74
2023-02-22,20.762,46.138,0.0,0.0,4,0.729
2023-02-23,22.583,50.185,0.0,0.0,4,0.746
2023-02-24,21.737,48.304,0.0,0.0,4,0.735
2023-02-27,20.886,46.412,0.0,0.0,4,0.727
2023-02-28,18.47,41.044,0.0,0.0,4,0.726
2023-03-01,18.19,40.422,0.0,0.0,4,0.719
2023-03-02,17.706,39.348,0.0,0.0,4,0.716
2023-03-03,16.266,36.147,0.0,0.0,4,0.715
2023-03-06,15.913,35.362,0.0,0.0,4,0.719
2023-03-07,14.306,31.791,0.0,0.0,4,0.709
2023-03-08,13.174,29.276,0.0,0.0,4,0.711
2023-03-09,11.118,24.706,0.0,0.0,4,0.7
2023-03-10,12.246,27.214,0.0,0.0,4,0.687
2023-03-13,13.526,30.058,0.0,0.0,4,0.683
2023-03-14,13.46,29.912,0.0,0.0,4,0.675
2023-03-15,12.999,28.886,0.0,0.0,4,0.668
2023-03-16,13.994,31.097,0.0,0.0,4,0.681
2023-03-17,16.765,37.256,0.0,0.0,4,0.694
2023-03-20,17.054,37.897,0.0,0.0,4,0.694
2023-03-21,17.323,38.496,0.0,0.0,4,0.699
2023-03-22,17.833,39.628,0.0,0.0,4,0.703
2023-03-23,20.614,45.809,0.0,0.0,4,0.722
2023-03-24,19.745,43.878,0.0,0.0,4,0.721
2023-03-27,19.8,44.001,0.0,0.0,4,0.71
2023-03-28,22.029,48.953,0.0,0.0,4,0.714
2023-03-29,23.599,52.442,0.0,0.0,4,0.734
2023-03-30,24.582,54.626,0.0,0.0,4,0.741
2023-03-31,24.359,54.131,0.0,0.0,4,0.737
2023-04-03,23.705,52.679,0.0,0.0,4,0.727
2023-04-04,23.3,51.779,0.0,0.0,4,0.709
2023-04-05,23.015,51.145,0.0,0.0,4,0.705
2023-04-06,22.732,50.517,0.0,0.0,4,0.704
2023-04-07,25.894,57.541,0.0,0.0,4,0.742
2023-04-10,29.778,66.173,0.0,0.0,4,0.778
2023-04-11,29.758,66.128,0.0,0.0,4,0.783
2023-04-12,29.554,65.676,0.0,0.0,4,0.773
2023-04-13,29.413,65.363,0.0,0.0,4,0.768
2023-04-14,28.396,63.102,0.0,0.0,4,0.758
2023-04-17,28.674,63.721,0.0,0.0,4,0.759
2023-04-18,27.887,61.97,0.0,0.0,4,0.755
2023-04-19,26.781,59.513,0.0,0.0,4,0.746
